dataset,label,obj_id,n_points
NYC,NYC,4455775,653
NYC,NYC,4455800,672
NYC,NYC,4455833,647
NYC,NYC,4469068,657
NYC,NYC,4469101,645
NYC,NYC,4469199,652
NYC,NYC,4469461,754
NYC,NYC,4469571,750
NYC,NYC,4469605,647
NYC,NYC,4469756,655
NYC,NYC,4471069,672
NYC,NYC,4473098,662
NYC,NYC,4473117,658
NYC,NYC,4473148,650
NYC,NYC,4473192,657
NYC,NYC,4473210,662
NYC,NYC,4473303,650
NYC,NYC,4473341,744
NYC,NYC,4473422,653
NYC,NYC,4477123,692
NYC,NYC,4477180,692
NYC,NYC,4477453,697
NYC,NYC,4477658,682
NYC,NYC,4477742,669
NYC,NYC,4477806,832
NYC,NYC,4477992,727
NYC,NYC,4478132,685
NYC,NYC,4479572,650
NYC,NYC,4481927,689
NYC,NYC,4482015,740
NYC,NYC,4482144,762
NYC,NYC,4482186,651
NYC,NYC,4482255,1208
NYC,NYC,4482329,840
NYC,NYC,4482358,674
NYC,NYC,4482639,910
NYC,NYC,4482668,721
NYC,NYC,4482957,669
NYC,NYC,4482985,693
NYC,NYC,4483073,652
NYC,NYC,4483104,696
NYC,NYC,4483184,687
NYC,NYC,4483746,2080
NYC,NYC,4485431,672
NYC,NYC,4485513,663
NYC,NYC,4487578,647
NYC,NYC,4487741,654
NYC,NYC,4487797,664
NYC,NYC,4487891,666
NYC,NYC,4487977,698
NYC,NYC,4488028,647
NYC,NYC,4488238,644
NYC,NYC,4488267,725
NYC,NYC,4491503,664
NYC,NYC,4491977,700
NYC,NYC,4492163,663
NYC,NYC,4492196,703
NYC,NYC,4492298,659
NYC,NYC,4492368,684
NYC,NYC,4492400,673
NYC,NYC,4492602,675
NYC,NYC,4492875,733
NYC,NYC,4492913,910
NYC,NYC,4493072,661
NYC,NYC,4499674,700
NYC,NYC,4500911,671
NYC,NYC,4504063,663
NYC,NYC,4504536,647
NYC,NYC,4508774,643
NYC,NYC,4527488,743
NYC,NYC,4527490,683
NYC,NYC,4527491,653
NYC,NYC,4527492,696
NYC,NYC,4532700,663
NYC,NYC,4534255,669
NYC,NYC,4534292,654
NYC,NYC,4534367,682
NYC,NYC,4534397,642
NYC,NYC,4539189,668
NYC,NYC,4539249,979
NYC,NYC,4543949,716
NYC,NYC,4543998,649
NYC,NYC,4544276,660
NYC,NYC,4544349,782
NYC,NYC,4544402,669
NYC,NYC,4544451,984
NYC,NYC,4544569,832
NYC,NYC,4544712,972
NYC,NYC,4544980,661
NYC,NYC,4547198,669
NYC,NYC,4547199,658
NYC,NYC,4547200,656
NYC,NYC,4547218,663
NYC,NYC,4550031,656
NYC,NYC,4550630,662
NYC,NYC,4552104,649
NYC,NYC,4554344,967
NYC,NYC,4554587,665
NYC,NYC,4554844,644
NYC,NYC,4559381,718
NYC,NYC,4559437,669
NYC,NYC,4559450,933
NYC,NYC,4559539,721
NYC,NYC,4559637,646
NYC,NYC,4559669,687
NYC,NYC,4561110,1125
NYC,NYC,4564328,670
NYC,NYC,4564347,641
NYC,NYC,4564465,737
NYC,NYC,4564522,713
NYC,NYC,4564613,717
NYC,NYC,4564757,714
NYC,NYC,4565183,644
NYC,NYC,4565236,687
NYC,NYC,4565262,676
NYC,NYC,4565353,888
NYC,NYC,4565415,651
NYC,NYC,4567952,647
NYC,NYC,4567953,661
NYC,NYC,4568209,656
NYC,NYC,4568645,840
NYC,NYC,4573332,647
NYC,NYC,4575040,847
NYC,NYC,4575161,934
NYC,NYC,4575235,662
NYC,NYC,4575445,655
NYC,NYC,4575471,648
NYC,NYC,4575619,1055
NYC,NYC,4575649,851
NYC,NYC,4575677,647
NYC,NYC,4579962,678
NYC,NYC,4580003,665
NYC,NYC,4580323,816
NYC,NYC,4580346,674
NYC,NYC,4582901,655
NYC,NYC,4597470,657
NYC,NYC,4599221,2389
NYC,NYC,4603971,763
NYC,NYC,4604044,656
NYC,NYC,4604501,872
NYC,NYC,4604609,1729
NYC,NYC,4605831,724
NYC,NYC,4605910,695
NYC,NYC,4608656,644
NYC,NYC,4627101,2228
NYC,NYC,4628716,679
NYC,NYC,4630881,657
NYC,NYC,4630959,671
NYC,NYC,4631194,707
NYC,NYC,4631302,712
NYC,NYC,4631360,801
NYC,NYC,4631382,672
NYC,NYC,4633897,652
NYC,NYC,4633925,651
NYC,NYC,4635588,1032
NYC,NYC,4636059,701
NYC,NYC,4636339,650
NYC,NYC,4636405,653
NYC,NYC,4636439,703
NYC,NYC,4636505,781
NYC,NYC,4636689,1004
NYC,NYC,4641660,729
NYC,NYC,4655019,686
NYC,NYC,4661635,655
NYC,NYC,4664144,811
NYC,NYC,4665062,689
NYC,NYC,4665086,668
NYC,NYC,4672349,687
NYC,NYC,4674598,664
NYC,NYC,4681489,976
NYC,NYC,4685794,652
NYC,NYC,4704667,665
NYC,NYC,4704864,654
NYC,NYC,4705079,641
NYC,NYC,4705137,657
NYC,NYC,4705163,822
NYC,NYC,4709092,692
NYC,NYC,4709369,662
NYC,NYC,4709401,682
NYC,NYC,4709444,648
NYC,NYC,4709473,642
NYC,NYC,4709814,781
NYC,NYC,4709835,862
NYC,NYC,4716077,1690
NYC,NYC,4718303,650
NYC,NYC,4718338,700
NYC,NYC,4720724,725
NYC,NYC,4720845,654
NYC,NYC,4720852,677
NYC,NYC,4723620,1581
NYC,NYC,4723733,2387
NYC,NYC,4724246,644
NYC,NYC,4724315,768
NYC,NYC,4724350,851
NYC,NYC,4724414,694
NYC,NYC,4724493,647
NYC,NYC,4724533,657
NYC,NYC,4724633,742
NYC,NYC,4725039,678
NYC,NYC,4729389,843
NYC,NYC,4729737,677
NYC,NYC,4729820,725
NYC,NYC,4729844,862
NYC,NYC,4729949,757
NYC,NYC,4729997,701
NYC,NYC,4730149,641
NYC,NYC,4730174,674
NYC,NYC,4733444,683
NYC,NYC,4734077,668
NYC,NYC,4734102,671
NYC,NYC,4734213,720
NYC,NYC,4734283,772
NYC,NYC,4734306,674
NYC,NYC,4734345,780
NYC,NYC,4734374,667
NYC,NYC,4739539,664
NYC,NYC,4743773,1065
NYC,NYC,4743902,669
NYC,NYC,4743944,679
NYC,NYC,4743989,645
NYC,NYC,4744025,650
NYC,NYC,4744128,700
NYC,NYC,4744153,649
NYC,NYC,4744199,861
NYC,NYC,4744273,704
NYC,NYC,4748091,654
NYC,NYC,4748142,652
NYC,NYC,4748931,697
NYC,NYC,4749083,647
NYC,NYC,4749462,965
NYC,NYC,4749548,890
NYC,NYC,4749569,758
NYC,NYC,4749590,653
NYC,NYC,4749729,663
NYC,NYC,4750121,1541
NYC,NYC,4752287,679
NYC,NYC,4752326,643
NYC,NYC,4752443,668
NYC,NYC,4752485,708
NYC,NYC,4753606,652
NYC,NYC,4753653,677
NYC,NYC,4753754,670
NYC,NYC,4753816,740
NYC,NYC,4753864,658
NYC,NYC,4753924,660
NYC,NYC,4753951,673
NYC,NYC,4755009,763
NYC,NYC,4755119,659
NYC,NYC,4757782,649
NYC,NYC,4757835,647
NYC,NYC,4764490,1157
NYC,NYC,4764532,655
NYC,NYC,4764893,650
NYC,NYC,4765493,792
NYC,NYC,4765549,654
NYC,NYC,4765698,707
NYC,NYC,4765817,688
NYC,NYC,4769904,673
NYC,NYC,4769922,655
NYC,NYC,4770523,873
NYC,NYC,4770569,696
NYC,NYC,4770594,703
NYC,NYC,4770660,794
NYC,NYC,4770683,652
NYC,NYC,4770775,696
NYC,NYC,4770859,664
NYC,NYC,4771501,648
NYC,NYC,4775412,650
NYC,NYC,4775629,692
NYC,NYC,4775650,672
NYC,NYC,4775732,798
NYC,NYC,4775960,717
NYC,NYC,4776009,735
NYC,NYC,4776122,657
NYC,NYC,4776139,647
NYC,NYC,4776379,1041
NYC,NYC,4777039,2223
NYC,NYC,4778770,654
NYC,NYC,4780340,678
NYC,NYC,4780687,675
NYC,NYC,4780961,723
NYC,NYC,4781004,722
NYC,NYC,4781106,694
NYC,NYC,4781302,785
NYC,NYC,4781534,1140
NYC,NYC,4781716,663
NYC,NYC,4784904,645
NYC,NYC,4784932,791
NYC,NYC,4784961,659
NYC,NYC,4785132,694
NYC,NYC,4785183,645
NYC,NYC,4785205,748
NYC,NYC,4785443,766
NYC,NYC,4785583,642
NYC,NYC,4785638,651
NYC,NYC,4787948,707
NYC,NYC,4789497,652
NYC,NYC,4789529,675
NYC,NYC,4789545,669
NYC,NYC,4789598,661
NYC,NYC,4789756,716
NYC,NYC,4789851,664
NYC,NYC,4789955,656
NYC,NYC,4789991,1105
NYC,NYC,4790292,739
NYC,NYC,4790324,657
NYC,NYC,4790350,677
NYC,NYC,4790399,1027
NYC,NYC,4790471,818
NYC,NYC,4791181,1988
NYC,NYC,4791252,1011
NYC,NYC,4792428,693
NYC,NYC,4804155,701
NYC,NYC,4804359,885
NYC,NYC,4804363,2001
NYC,NYC,4804364,645
NYC,NYC,4804424,729
NYC,NYC,4805850,1085
NYC,NYC,4805851,905
NYC,NYC,4810259,1542
NYC,NYC,4811082,717
NYC,NYC,4815481,675
NYC,NYC,4818341,712
NYC,NYC,4818526,1710
NYC,NYC,4831328,704
NYC,NYC,4831331,682
NYC,NYC,4837269,947
NYC,NYC,4837443,668
NYC,NYC,4837481,645
NYC,NYC,4837526,688
NYC,NYC,4837614,703
NYC,NYC,4838082,669
NYC,NYC,4838111,726
NYC,NYC,4847663,661
NYC,NYC,4847695,658
NYC,NYC,4847862,969
NYC,NYC,4847908,684
NYC,NYC,4847931,669
NYC,NYC,4854953,668
NYC,NYC,4855039,703
NYC,NYC,4857028,649
NYC,NYC,4857061,666
NYC,NYC,4857162,681
NYC,NYC,4857208,643
NYC,NYC,4861247,656
NYC,NYC,4861296,644
NYC,NYC,4861441,684
NYC,NYC,4861603,642
NYC,NYC,4861624,663
NYC,NYC,4861811,653
NYC,NYC,4861850,649
NYC,NYC,4861888,665
NYC,NYC,4862071,739
NYC,NYC,4862136,646
NYC,NYC,4862159,669
NYC,NYC,4862363,928
NYC,NYC,4865559,659
NYC,NYC,4866502,652
NYC,NYC,4866656,645
NYC,NYC,4866685,654
NYC,NYC,4866819,667
NYC,NYC,4866908,769
NYC,NYC,4872314,655
NYC,NYC,4872353,654
NYC,NYC,4872567,651
NYC,NYC,4872681,643
NYC,NYC,4872702,645
NYC,NYC,4872843,815
NYC,NYC,4872858,669
NYC,NYC,4872886,651
NYC,NYC,4877725,831
NYC,NYC,4877765,663
NYC,NYC,4877821,704
NYC,NYC,4877845,724
NYC,NYC,4877852,711
NYC,NYC,4877881,648
NYC,NYC,4881349,651
NYC,NYC,4888109,685
NYC,NYC,4888133,666
NYC,NYC,4888146,680
NYC,NYC,4888364,762
NYC,NYC,4888493,754
NYC,NYC,4888626,746
NYC,NYC,4888691,755
NYC,NYC,4888755,1014
NYC,NYC,4893340,712
NYC,NYC,4893359,911
NYC,NYC,4893380,661
NYC,NYC,4893442,731
NYC,NYC,4893547,646
NYC,NYC,4893580,738
NYC,NYC,4893905,767
NYC,NYC,4893952,645
NYC,NYC,4893993,689
NYC,NYC,4894075,679
NYC,NYC,4894172,643
NYC,NYC,4896420,1131
NYC,NYC,4898867,649
NYC,NYC,4899801,776
NYC,NYC,4899831,796
NYC,NYC,4899863,852
NYC,NYC,4900086,730
NYC,NYC,4900176,662
NYC,NYC,4900221,657
NYC,NYC,4900535,818
NYC,NYC,4900557,767
NYC,NYC,4907447,643
NYC,NYC,4909376,669
NYC,NYC,4909485,960
NYC,NYC,4915615,665
NYC,NYC,4915693,700
NYC,NYC,4915711,696
NYC,NYC,4915752,885
NYC,NYC,4915772,656
NYC,NYC,4915801,663
NYC,NYC,4915872,879
NYC,NYC,4922044,713
NYC,NYC,4922064,648
NYC,NYC,4932446,686
NYC,NYC,4934047,676
NYC,NYC,4939978,873
NYC,NYC,4939998,658
NYC,NYC,4940083,676
NYC,NYC,4940121,685
NYC,NYC,4940137,690
NYC,NYC,4940191,643
NYC,NYC,4940373,758
NYC,NYC,4940485,648
NYC,NYC,4940773,662
NYC,NYC,4941076,714
NYC,NYC,4941200,771
NYC,NYC,4945693,652
NYC,NYC,4945735,669
NYC,NYC,4945756,666
NYC,NYC,4945874,749
NYC,NYC,4946551,670
NYC,NYC,4946767,667
NYC,NYC,4948826,648
NYC,NYC,4949038,705
NYC,NYC,4949040,772
NYC,NYC,4949044,806
NYC,NYC,4977064,750
NYC,NYC,4977066,679
NYC,NYC,4977477,659
NYC,NYC,4977502,646
NYC,NYC,4983689,664
NYC,NYC,4983733,660
NYC,NYC,4985026,644
NYC,NYC,4992061,663
NYC,NYC,4992120,695
NYC,NYC,5015746,656
NYC,NYC,5036786,644
NYC,NYC,5036856,653
NYC,NYC,5041994,709
NYC,NYC,5046222,792
NYC,NYC,5051552,671
NYC,NYC,5054554,654
NYC,NYC,5119587,662
NYC,NYC,5120819,672
NYC,NYC,5176399,1822
NYC,NYC,5194725,655
NYC,NYC,5201423,654
NYC,NYC,5208751,644
NYC,NYC,5223581,1064
