dataset,obj_id,lat,lon
NYC,4216956,40.722927116129036,-73.9882908701613
NYC,4216956,40.72367101492538,-73.99086557611939
NYC,4216956,40.72302225409357,-73.99483143888888
NYC,4216956,40.726800884883716,-74.00293625581394
NYC,4216956,40.72735314545456,-74.00330656363634
NYC,4272243,40.761526413043484,-73.96673423804349
NYC,4344977,40.75822516732677,-73.9920770490099
NYC,4344977,40.75831589305555,-73.99246640833333
NYC,4344977,40.75821669392857,-73.99300761821443
NYC,4344977,40.750969721875,-73.99806274270834
NYC,4344977,40.74758825293255,-74.00048405410558
NYC,4350946,40.762506998214285,-73.97820065357142
NYC,4350946,40.76291418727271,-73.9745247818182
NYC,4350946,40.76232872711864,-73.97314252033897
NYC,4350946,40.75946415076922,-73.96547371538463
NYC,4350946,40.7591675737705,-73.96479210491802
NYC,4351935,40.71779380273971,-73.99283187534246
NYC,4351935,40.717550378260874,-73.99205076304348
NYC,4351935,40.714783823780486,-73.99153871707317
NYC,4351935,40.71409428173076,-73.99728151153845
NYC,4351935,40.715141279166666,-74.00170769374999
NYC,4352377,40.71873180588235,-73.98864833823531
NYC,4352377,40.719943173333334,-73.99246548222222
NYC,4352377,40.72006098139536,-74.00142547441858
NYC,4352377,40.72020895301204,-74.00225986746992
NYC,4358853,40.75533509256198,-73.97100919752069
NYC,4358853,40.75530286767676,-73.97123636144781
NYC,4358853,40.7562008775862,-73.97049982155173
NYC,4359232,40.72192769487179,-73.98512821538463
NYC,4359232,40.72672717884616,-73.98327926923075
NYC,4370045,40.74575253333334,-74.00566396923077
NYC,4370045,40.746772239240514,-74.00765406297467
NYC,4370045,40.74537849464286,-73.99873096607143
NYC,4389353,40.72034884468085,-73.99384031276595
NYC,4389353,40.71862796285714,-73.99482403428573
NYC,4389353,40.71631339705883,-74.00253650588232
NYC,4389353,40.700092927777774,-73.98635042916666
NYC,4389414,40.72495800882353,-73.99541305588234
NYC,4389414,40.72501731489362,-73.99506666595744
NYC,4389414,40.72415467358491,-73.99287938113208
NYC,4389414,40.722536424999994,-73.99323161818178
NYC,4389414,40.7179533711111,-73.98676463777775
NYC,4392729,40.763722932203386,-73.97170791694914
NYC,4392729,40.77337055000002,-73.95526647962961
NYC,4392729,40.77144368196722,-73.95064855081965
NYC,4393045,40.72106635192309,-74.00397786201923
NYC,4393045,40.721532950741846,-74.00447228961423
NYC,4393045,40.71638721754386,-73.99653560877191
NYC,4440451,40.71948625740739,-74.00205609259258
NYC,4440451,40.71683964298245,-73.99783941491228
NYC,4443744,40.782537795762714,-73.9438163677966
NYC,4443744,40.78413062941176,-73.94677471176472
NYC,4443744,40.78510216041666,-73.94908867291666
NYC,4443744,40.78787445833334,-73.95375733541663
NYC,4443744,40.788513368085106,-73.95509747021278
NYC,4443744,40.79468728275862,-73.96966547413795
NYC,4448887,40.73111291025641,-73.99000799743591
NYC,4448887,40.7308380625,-73.98933018203125
NYC,4448887,40.729942542647045,-73.9871512485294
NYC,4448887,40.728042811475405,-73.98266076967212
NYC,4448887,40.72694322083334,-73.98002126250003
NYC,4448887,40.724937709433966,-73.97537889433961
NYC,4469551,40.75045039375,-73.99844831249999
NYC,4469551,40.741719061538475,-74.00469843076925
NYC,4469551,40.73416819594595,-74.00368927432433
NYC,4472905,40.71797007027027,-73.9934767412162
NYC,4472905,40.718632908074525,-73.99188997018635
NYC,4472905,40.723625580681826,-73.9927768375
NYC,4473229,40.70772546981132,-73.96114159622641
NYC,4473229,40.70715424833334,-73.96126258333332
NYC,4473229,40.70056129299999,-73.954142458
NYC,4473229,40.68944679921875,-73.94238816874999
NYC,4481970,40.725750354210525,-73.99200700526316
NYC,4481970,40.726871915094335,-73.99157707924529
NYC,4487550,40.735313312,-73.99200837199996
NYC,4487550,40.73026364615386,-73.98943747435898
NYC,4487550,40.724031963095236,-73.98815710833333
NYC,4487946,40.727176292132484,-73.99272837722563
NYC,4504164,40.717937611764704,-73.98554525490194
NYC,4504164,40.719531645454545,-73.98646462545454
NYC,4504164,40.719781095774664,-73.98723797887324
NYC,4504164,40.71937094999999,-73.98780371052631
NYC,4504164,40.71874898428572,-73.98810999857142
NYC,4527487,40.73603273375001,-74.00949362124997
NYC,4527487,40.73622430274725,-74.0091260324176
NYC,4527487,40.73621222326389,-74.00852358715277
NYC,4527487,40.73635598421053,-74.00750225000002
NYC,4527487,40.73637311,-74.00706829999999
NYC,4544584,40.73242264117647,-73.97435100882353
NYC,4544584,40.73487065999999,-73.97959257666666
NYC,4544584,40.73867762631579,-73.98706575000003
NYC,4547202,40.771541037037046,-73.98104891481482
NYC,4547202,40.7717380485294,-73.98074383137255
NYC,4547202,40.769101096296296,-73.98228012037038
NYC,4547202,40.768713183,-73.98766560399997
NYC,4559519,40.77766419779411,-73.98141328823533
NYC,4559519,40.77775747333333,-73.98183318444445
NYC,4559519,40.77858865444962,-73.98346086077285
NYC,4559519,40.7781327288889,-73.98213787111108
NYC,4559519,40.776492515625,-73.98221591041668
NYC,4575701,40.77155845581396,-73.95068454069768
NYC,4579744,40.71514316153846,-73.99278644692308
NYC,4579744,40.716131197468364,-73.98941802911392
NYC,4579744,40.71832032786885,-73.98827355409836
NYC,4579744,40.72090054871794,-73.98696846923077
NYC,4579744,40.72269332280701,-73.98597273333336
NYC,4605892,40.76259447149121,-73.99687707499997
NYC,4605892,40.762000457640724,-73.99729263471848
NYC,4605892,40.761592183333335,-73.9977283861111
NYC,4668185,40.72769114390243,-74.0033597609756
NYC,4668185,40.72729044183674,-74.00081717142858
NYC,4668185,40.72416386145833,-73.99285081354166
NYC,4668185,40.722912959999995,-73.98899002500002
NYC,4668185,40.72058637714285,-73.98982542857141
NYC,4668185,40.717533408333324,-73.99138363888888
