trajectory,eps_m,t_s,min_samples,n_points,step_n_stops,step_n_moves,step_mean_stop_s,step_mean_move_pts,step_wall_s,step_wall_p25_s,step_wall_p75_s,stss_n_stops,stss_n_moves,stss_mean_stop_s,stss_mean_move_pts,stss_wall_s,stss_wall_p25_s,stss_wall_p75_s,f1,precision,recall,matched_iou_mean
4303201,10.0,10.0,5,600,3,3,15.0,184.0,0.0034330999999999997,0.0033894,0.0034497,7,7,14.571428571428571,70.14285714285714,0.157846,0.15781769999999998,0.1578743,0.6,1.0,0.42857142857142855,0.9176413255360624
4326816,10.0,10.0,5,606,10,10,28.0,31.6,0.005323100000000001,0.005283899999999999,0.0056554,4,5,17.5,106.4,0.2601463,0.2564818,0.2638108,0.4285714285714285,0.3,0.75,0.6922015182884748
4453473,10.0,10.0,5,610,4,5,33.25,94.6,0.0044317,0.0040000999999999995,0.0051855,4,5,18.75,106.2,0.13063355000000001,0.128215775,0.133051325,0.5,0.5,0.5,0.8178368121442126
4636267,10.0,10.0,5,624,10,11,27.5,30.818181818181817,0.0062638,0.006145899999999999,0.0062683,13,12,12.692307692307692,37.166666666666664,0.3254906,0.3199953,0.3309859,0.4347826086956522,0.5,0.38461538461538464,0.7567989417989418
4652239,10.0,10.0,5,601,9,9,27.555555555555557,38.22222222222222,0.0060775,0.0060049,0.006759799999999999,11,11,13.090909090909092,40.54545454545455,0.3011595,0.30062285,0.30169615,0.3,0.3333333333333333,0.2727272727272727,0.8761282290694056
4660369,10.0,10.0,5,640,5,6,31.6,79.5,0.0069092,0.0066286,0.0072456000000000005,6,7,19.166666666666668,74.14285714285714,0.1588815,0.15646239999999997,0.16130060000000002,0.3636363636363636,0.4,0.3333333333333333,0.7081447963800905
4748312,10.0,10.0,5,624,6,7,36.666666666666664,56.857142857142854,0.0060265,0.005481300000000001,0.006203599999999999,10,11,14.5,42.63636363636363,0.2774296,0.27632134999999997,0.27853785,0.25,0.3333333333333333,0.2,0.9110671936758893
4748313,10.0,10.0,5,770,6,7,61.833333333333336,56.142857142857146,0.020843599999999997,0.0201793,0.0214425,10,11,28.0,43.63636363636363,0.3524275,0.35145285,0.35340215,0.25,0.3333333333333333,0.2,0.925
4779685,10.0,10.0,5,669,8,9,40.0,37.888888888888886,0.0090435,0.0086832,0.009195100000000001,15,14,16.733333333333334,28.785714285714285,0.36823839999999997,0.3649047999999999,0.371572,0.3478260869565218,0.5,0.26666666666666666,0.6839133089133088
4792372,10.0,10.0,5,609,9,8,27.11111111111111,44.5,0.0064455,0.005790800000000001,0.0071711000000000006,9,9,16.333333333333332,50.333333333333336,0.24438905000000002,0.23934782500000001,0.249430275,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7608873259448706
4793806,10.0,10.0,5,609,4,5,45.5,84.6,0.006707599999999999,0.0063484,0.006820800000000001,7,7,12.714285714285714,73.28571428571429,0.21482765000000004,0.20911132500000001,0.220543975,0.0,0.0,0.0,0.0
4798549,10.0,10.0,5,661,7,7,36.57142857142857,56.857142857142854,0.0076626,0.0073266,0.0077901,13,13,16.53846153846154,33.30769230769231,0.32960275,0.32514852499999997,0.33405697500000003,0.4,0.5714285714285714,0.3076923076923077,0.6980769230769232
4944723,10.0,10.0,5,650,8,6,50.125,40.166666666666664,0.0114711,0.0111672,0.011799299999999999,11,11,17.181818181818183,40.90909090909091,0.34753380000000006,0.3450472,0.35002039999999995,0.2105263157894737,0.25,0.18181818181818182,0.885
4981908,10.0,10.0,5,251,3,3,15.666666666666666,67.0,0.0012753,0.0012536,0.0012966,3,3,16.666666666666668,66.0,0.042767349999999996,0.042757825000000006,0.042776875,1.0,1.0,1.0,0.9335664335664337
5084249,10.0,10.0,5,600,1,2,10.0,294.5,0.0031401999999999997,0.002942,0.0035582,5,6,12.0,89.16666666666667,0.09504369999999998,0.0944757,0.0956117,0.33333333333333337,1.0,0.2,0.7692307692307693
5133027,10.0,10.0,5,628,6,5,50.5,63.8,0.007022200000000001,0.0068279,0.007308299999999999,10,11,15.7,41.90909090909091,0.27830114999999994,0.27592612499999997,0.28067617499999997,0.25,0.3333333333333333,0.2,0.5635416666666666
5285957,10.0,10.0,5,387,3,2,23.0,157.5,0.002225,0.0022215,0.0022586999999999998,4,3,16.5,105.66666666666667,0.11344304999999999,0.11250562499999998,0.114380475,0.5714285714285715,0.6666666666666666,0.5,0.9772727272727273
