gamma_mps,k,n_trajectories,n_points_mean,n_points_median,n_points_std,n_points_min,n_points_max,n_moves_mean,n_moves_median,n_moves_std,n_moves_min,n_moves_max,n_stops_mean,n_stops_median,n_stops_std,n_stops_min,n_stops_max,n_move_points_mean,n_move_points_median,n_move_points_std,n_move_points_min,n_move_points_max,n_move_keypoints_mean,n_move_keypoints_median,n_move_keypoints_std,n_move_keypoints_min,n_move_keypoints_max,move_cr_mean,move_cr_median,move_cr_std,move_cr_min,move_cr_max,move_retention_ratio_mean,move_retention_ratio_median,move_retention_ratio_std,move_retention_ratio_min,move_retention_ratio_max,e_match_rate_mean,e_match_rate_median,e_match_rate_std,e_match_rate_min,e_match_rate_max,v_match_rate_mean,v_match_rate_median,v_match_rate_std,v_match_rate_min,v_match_rate_max,move_latency_us_per_point_mean,move_latency_us_per_point_median,move_latency_us_per_point_std,move_latency_us_per_point_min,move_latency_us_per_point_max,passes_retention_floor
5.0,5,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,50.67,42.0,33.21799895456459,2.0,172.0,26.027153804741037,25.177020340846617,7.807475033183276,11.76079734219269,45.73913043478261,0.11802175798078365,0.10621645186779652,0.050937507814382346,0.04054054054054054,0.2617960426179604,0.0010059405569714523,0.0,0.005229570533920018,0.0,0.03508771929824561,0.2684824586310868,0.2330316742081448,0.18364198685266966,0.0,0.7142857142857143,8.815083041682051,8.007658111930265,2.5025373080998183,5.36390041493776,21.463414634146343,1
5.0,3,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,50.67,42.0,33.21799895456459,2.0,172.0,25.98728452811162,25.07573529411765,7.6947560675439535,11.721854304635762,45.08571428571429,0.11802175798078365,0.10621645186779652,0.050937507814382346,0.04054054054054054,0.2617960426179604,0.005736434961426137,0.0,0.0139069557312093,0.0,0.07407407407407407,0.5985321583663368,0.6306818181818181,0.2507376179997059,0.0,1.0,8.6877422511136,8.40091839831767,1.8395349684947944,5.491643454038997,14.81058394160584,1
5.0,4,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,50.67,42.0,33.21799895456459,2.0,172.0,26.138254075386552,25.027928711149748,7.778771856312384,11.8,45.73913043478261,0.11802175798078365,0.10621645186779652,0.050937507814382346,0.04054054054054054,0.2617960426179604,0.0027316641680544215,0.0,0.008741112146253182,0.0,0.05263157894736842,0.41906651815672413,0.4083333333333333,0.240400912669645,0.0,1.0,8.715622570303735,8.089295466632798,2.464766655410073,5.198901098901099,23.770731707317072,1
5.0,2,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,50.67,42.0,33.21799895456459,2.0,172.0,25.68713867012514,24.679487179487182,7.390593529731518,11.683168316831683,45.08571428571429,0.11802175798078365,0.10621645186779652,0.050937507814382346,0.04054054054054054,0.2617960426179604,0.028675287235290305,0.02020408163265306,0.03543477479861452,0.0,0.18604651162790697,0.8166225364088572,0.8888888888888888,0.24473668967041437,0.0,1.0,9.60081750569071,9.10180110165794,2.3338418716979974,5.642056074766356,23.38048780487805,1
5.0,6,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,50.67,42.0,33.21799895456459,2.0,172.0,25.373443432845733,24.376352953303783,7.575189054166176,11.644736842105264,43.833333333333336,0.11802175798078365,0.10621645186779652,0.050937507814382346,0.04054054054054054,0.2617960426179604,0.0002433664780530682,0.0,0.0019243409048596818,0.0,0.01834862385321101,0.1561488633366087,0.12903225806451613,0.1408042544366726,0.0,0.7272727272727273,8.282838892876887,7.792937669376694,2.0752587797226063,5.562145748987854,18.34390243902439,1
5.0,7,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,50.67,42.0,33.21799895456459,2.0,172.0,24.622480804401036,23.3591533180778,7.37238821804623,11.568627450980392,42.08,0.11802175798078365,0.10621645186779652,0.050937507814382346,0.04054054054054054,0.2617960426179604,0.0,0.0,0.0,0.0,0.0,0.08000556747286437,0.05798319327731093,0.08375826195452106,0.0,0.38461538461538464,7.996427336176356,7.584665756827304,1.890541316874893,4.989333333333334,17.875182481751825,1
4.0,4,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,57.64,50.5,36.35001563085821,2.0,189.0,23.887385996018608,23.254952311078505,6.834441638233283,10.315186246418339,43.397260273972606,0.13423749069598578,0.12270554936896808,0.055534159284772344,0.04878048780487805,0.29833333333333334,0.006356121376287378,0.0,0.014956636683542286,0.0,0.06666666666666667,0.45846024311196604,0.4494949494949495,0.24191375501191278,0.0,1.0,9.232745813254962,8.748557451544098,2.43996404145177,4.519834710743802,20.058536585365854,1
4.0,3,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,57.64,50.5,36.35001563085821,2.0,189.0,23.758470801479994,23.130449362843727,6.950923968801688,10.285714285714286,43.397260273972606,0.13423749069598578,0.12270554936896808,0.055534159284772344,0.04878048780487805,0.29833333333333334,0.011953983035655641,0.0,0.02180357182309114,0.0,0.1,0.5990628088512822,0.6666666666666666,0.26955884638674593,0.0,1.0,8.975286175217821,8.703972829509063,2.07193356712733,5.924666666666667,15.509745762711866,1
5.0,8,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,50.67,42.0,33.21799895456459,2.0,172.0,23.962351627490058,23.03794810259487,7.085738012954493,11.273885350318471,43.833333333333336,0.11802175798078365,0.10621645186779652,0.050937507814382346,0.04054054054054054,0.2617960426179604,8.620689655172413e-05,0.0,0.0008620689655172414,0.0,0.008620689655172414,0.039675863885168784,0.020869565217391306,0.05426077930998839,0.0,0.23076923076923078,7.759522388025503,7.321016543935073,1.8001862505308124,5.003555555555556,13.670731707317072,1
4.0,5,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,57.64,50.5,36.35001563085821,2.0,189.0,23.64317388248441,22.98058941886614,6.951111064951259,10.315186246418339,43.397260273972606,0.13423749069598578,0.12270554936896808,0.055534159284772344,0.04878048780487805,0.29833333333333334,0.0020797031133417136,0.0,0.007184292143290979,0.0,0.041666666666666664,0.299180220061189,0.26666666666666666,0.19723529845541624,0.0,0.9090909090909091,8.670722048298968,8.179975521958243,2.120137602301373,5.391483516483516,16.77261904761905,1
