trajectory,strategy,n_stops,n_stop_points,avg_sed_m,max_sed_m,p95_sed_m,latency_us_per_stop,latency_us_per_point,latency_p25_us_per_point,latency_p75_us_per_point
4216956,centroid,5,547,4.980662720066846,24.359228448511498,11.6211145710699,18.18,0.16617915904936015,0.16288848263254113,0.17129798903107862
4216956,medoid,5,547,4.928560397181848,25.36689428814373,13.084152333680835,11329.74,103.56252285191955,75.33674588665447,103.61499085923218
4216956,snap_to_nearest,5,547,5.0054637009765495,24.26043690235572,11.91574773163459,48.080000000000005,0.43948811700182816,0.43290676416819013,0.46197440585009136
4216956,first_point,5,547,19.452767893937416,38.554928755352,33.03369136236621,2.72,0.02486288848263254,0.024314442413162708,0.02614259597806216
4272243,centroid,1,46,4.753396837633257,14.209508150983302,9.417553640156324,5.5,0.11956521739130435,0.11521739130434783,0.12608695652173912
4272243,medoid,1,46,4.665807588154257,13.21041278040429,10.631240349833321,528.4,11.48695652173913,11.419565217391304,11.491304347826087
4272243,snap_to_nearest,1,46,4.763643788699971,13.61765265337511,9.605173017151298,14.6,0.3173913043478261,0.3173913043478261,0.32608695652173914
4272243,first_point,1,46,10.552658886120913,23.54432794218293,16.786481472137893,1.9,0.041304347826086954,0.0391304347826087,0.041304347826086954
4344977,centroid,5,803,2.6614841448534676,18.403056548335016,9.249392879472836,21.14,0.13163138231631383,0.13150684931506848,0.1318804483188045
4344977,medoid,5,803,2.5665635653847843,18.349838422737186,9.320104926929604,10379.779999999999,64.63125778331258,61.282689912826896,89.87384806973847
4344977,snap_to_nearest,5,803,2.6658366250179135,18.408496343072837,9.246917731521133,74.42,0.463387297633873,0.4232876712328767,0.472478206724782
4344977,first_point,5,803,15.578239371891751,35.83447330518993,21.486084262827674,2.9600000000000004,0.018430884184308844,0.01830635118306351,0.018430884184308844
4350946,centroid,5,296,4.285742349991202,14.821691212300953,10.72444184754242,6.500000000000001,0.1097972972972973,0.10912162162162162,0.11047297297297298
4350946,medoid,5,296,4.21182295743637,14.497149869622918,11.279214555826954,1697.52,28.674324324324324,27.53445945945946,28.764189189189192
4350946,snap_to_nearest,5,296,4.302550430105987,14.712261955511169,10.525305635783653,34.660000000000004,0.585472972972973,0.3138513513513514,0.5966216216216216
4350946,first_point,5,296,12.247804000114668,26.483206674357685,21.150847373153393,3.4000000000000004,0.057432432432432436,0.05574324324324324,0.05878378378378378
4351935,centroid,5,406,3.312979795546846,15.550702693618812,9.734907130609141,13.14,0.16182266009852217,0.14655172413793102,0.16354679802955666
4351935,medoid,5,406,3.2758714405243414,15.084574748286522,9.720328155833327,3548.8199999999997,43.70467980295566,41.85541871921182,44.80295566502463
4351935,snap_to_nearest,5,406,3.31767377049631,15.084574748286522,9.678918884542552,23.28,0.28669950738916256,0.2864532019704433,0.2997536945812808
4351935,first_point,5,406,12.510273669632692,29.27938218733435,18.313026158657507,2.44,0.03004926108374384,0.029310344827586206,0.03004926108374384
4352377,centroid,4,288,2.6066931503635766,13.694436387793449,9.087614915005997,11.55,0.16041666666666668,0.159375,0.16319444444444445
4352377,medoid,4,288,2.5068468506164767,13.909736242859523,9.257504312655646,3523.8,48.94166666666667,47.17604166666667,52.118750000000006
4352377,snap_to_nearest,4,288,2.5341391751177946,13.909736242859523,9.231937085981368,40.725,0.565625,0.5545138888888889,0.6006944444444444
4352377,first_point,4,288,12.86078379533686,26.649777220424326,15.205537141502923,3.175,0.04409722222222222,0.04375,0.04513888888888889
