strategy,n_trajectories,n_stops_mean,n_stops_median,n_stops_std,n_stops_min,n_stops_max,n_stop_points_mean,n_stop_points_median,n_stop_points_std,n_stop_points_min,n_stop_points_max,avg_sed_m_mean,avg_sed_m_median,avg_sed_m_std,avg_sed_m_min,avg_sed_m_max,max_sed_m_mean,max_sed_m_median,max_sed_m_std,max_sed_m_min,max_sed_m_max,p95_sed_m_mean,p95_sed_m_median,p95_sed_m_std,p95_sed_m_min,p95_sed_m_max,latency_us_per_stop_mean,latency_us_per_stop_median,latency_us_per_stop_std,latency_us_per_stop_min,latency_us_per_stop_max,latency_us_per_point_mean,latency_us_per_point_median,latency_us_per_point_std,latency_us_per_point_min,latency_us_per_point_max,passes_sed_budget
medoid,100,4.23,4.5,1.6382732964738802,0.0,7.0,322.8,286.5,198.37078841646442,0.0,1126.0,3.945003236340483,3.2270890058579753,2.450833053492852,1.424973767808956,15.448191536941884,18.644085808186535,15.83843620694603,7.936817881251588,9.78741594789136,49.56022964500142,11.938199170387557,10.405747476981585,6.3574008894493215,4.669358426513835,37.55748233889859,5118.048775853776,1752.6999999999998,11111.900175025714,274.9,84935.8,42.540634425423725,29.365760869565218,39.3968690103631,8.33030303030303,279.56412078152755,1
centroid,100,4.23,4.5,1.6382732964738802,0.0,7.0,322.8,286.5,198.37078841646442,0.0,1126.0,4.055538949808391,3.309103717432222,2.527188466999974,1.5069338519088122,15.62701591637074,17.60767645572444,15.458469302914168,6.61544962174274,9.910908841907409,48.612872696613195,10.899315376433943,9.382862765727387,5.465628472460206,4.069797878104528,37.6261630752099,11.654410774410774,11.133333333333331,5.651989774230423,5.0,49.1,0.1618278011751711,0.1632876712328767,0.04952610786217798,0.06169544740973312,0.28421052631578947,1
snap_to_nearest,100,4.23,4.5,1.6382732964738802,0.0,7.0,322.8,286.5,198.37078841646442,0.0,1126.0,4.064004976532847,3.3112201395158376,2.549205831957662,1.4932788454321597,15.674618753235682,17.753980390766653,15.382822342873407,6.745595483798384,9.689022713905315,49.0871197398427,11.06381727090471,9.605173017151298,5.4967991523654,4.449855520232751,37.743963265629844,39.29992544492544,34.733333333333334,20.158884271162712,12.1,130.9,0.5295411031053053,0.565625,0.15002020981024422,0.2622366288492707,1.1912328767123288,1
first_point,100,4.23,4.5,1.6382732964738802,0.0,7.0,322.8,286.5,198.37078841646442,0.0,1126.0,13.901754153016757,12.714145089962742,4.27809992032243,4.737893914763761,32.31309026973538,31.80534901363595,28.056794698170318,11.992669442594519,16.11019713525558,91.27161129227194,23.070274299360683,19.84147383679716,11.268314341989914,11.9942752420768,74.34185616231973,2.8742592592592593,3.1999999999999997,0.7203230149271806,1.5000000000000002,4.1,0.04504159366655676,0.04440894568690096,0.02003724418740319,0.003933747412008281,0.10526315789473684,1
