trajectory,dp_epsilon_m,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_mean_sed_m,move_max_sed_m,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point
10752853,1.0,615,1,0,615,84,7.321428571428571,11.92410068253816,75.3255676280186,5.786341463414634,5.427479674796748,6.1552845528455284
10752864,1.0,232,2,1,184,22,8.363636363636363,9.074389086762,35.58865983548256,4.186413043478261,3.898369565217391,6.366847826086956
10752951,1.0,610,1,0,610,98,6.224489795918367,2.479366036165296,18.940316012038103,6.721475409836066,6.622622950819673,6.837704918032787
10892045,1.0,323,2,1,275,26,10.576923076923077,20.628961919290273,98.99625858652576,4.140363636363636,4.127272727272727,4.143999999999999
10934834,1.0,242,2,1,208,24,8.666666666666666,4.777640531267635,28.879218060943764,3.7173076923076924,3.675480769230769,3.808653846153846
10934933,1.0,423,2,1,391,29,13.482758620689655,14.160433106228645,76.02134725468272,3.8352941176470585,3.806649616368287,4.002046035805627
10935081,1.0,278,2,1,244,16,15.25,42.23477037972978,143.8669481117084,3.6561475409836066,3.140573770491803,3.8938524590163937
10935136,1.0,308,1,1,258,10,25.8,34.174725182179415,88.39992522942718,2.625581395348837,2.5961240310077516,2.9027131782945736
10935148,1.0,237,2,2,152,6,25.333333333333332,9.09450104599395,29.85036235846576,2.0539473684210527,1.5381578947368422,2.1769736842105263
10935358,1.0,636,4,3,526,72,7.305555555555555,6.044310893985806,44.21707958888882,4.700380228136883,4.216920152091254,6.220722433460076
10935638,1.0,228,1,0,228,16,14.25,8.424088203344429,39.27356569651374,4.85701754385965,4.846052631578948,4.860964912280702
10935844,1.0,607,1,0,607,94,6.457446808510638,10.49836639176846,133.274923112427,6.600494233937397,6.258154859967051,6.683855024711697
10969051,1.0,601,1,0,601,153,3.9281045751633985,2.570218484719573,22.5156258795101,7.3430948419301165,7.0,7.493011647254576
11058912,1.0,601,1,0,601,119,5.050420168067227,5.835541171771418,65.03546415477406,7.471880199667222,7.3783693843594005,7.530116472545758
