dp_epsilon_m,n_trajectories,n_points_mean,n_points_median,n_points_std,n_points_min,n_points_max,n_moves_mean,n_moves_median,n_moves_std,n_moves_min,n_moves_max,n_stops_mean,n_stops_median,n_stops_std,n_stops_min,n_stops_max,n_move_points_mean,n_move_points_median,n_move_points_std,n_move_points_min,n_move_points_max,n_move_keypoints_mean,n_move_keypoints_median,n_move_keypoints_std,n_move_keypoints_min,n_move_keypoints_max,move_cr_mean,move_cr_median,move_cr_std,move_cr_min,move_cr_max,move_mean_sed_m_mean,move_mean_sed_m_median,move_mean_sed_m_std,move_mean_sed_m_min,move_mean_sed_m_max,move_max_sed_m_mean,move_max_sed_m_median,move_max_sed_m_std,move_max_sed_m_min,move_max_sed_m_max,move_latency_us_per_point_mean,move_latency_us_per_point_median,move_latency_us_per_point_std,move_latency_us_per_point_min,move_latency_us_per_point_max,passes_sed_budget
5.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.79,5.0,1.7250091494414068,1.0,9.0,4.24,4.0,1.928625406758907,0.0,9.0,494.34,492.0,92.60050177668008,280.0,724.0,29.12,27.0,11.042873290274162,13.0,74.0,18.596374078619142,17.541954022988506,5.852177156383935,8.209302325581396,39.5,17.138111519118457,13.480364986787933,12.191151933630682,2.614013178362377,77.97740232463026,98.51661164204538,86.28594305583721,59.375726321046365,12.931846006928058,310.0386724424174,4.836839092722155,4.657002168521691,1.967398468381267,0.9801152737752162,11.357235772357724,1
2.5,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.79,5.0,1.7250091494414068,1.0,9.0,4.24,4.0,1.928625406758907,0.0,9.0,494.34,492.0,92.60050177668008,280.0,724.0,44.64,43.0,17.190859680820402,18.0,110.0,12.223119067786177,11.161371237458194,4.0352864250815506,5.590909090909091,29.105263157894736,9.339441615874732,6.13197208413676,10.133969378085427,1.6718733547906823,77.87596049133349,64.71059321531912,46.45813786085148,54.38258629745823,10.124476505439628,310.0386724424174,5.288409919276219,5.113867386738674,1.878437379979591,1.172334293948127,9.474355083459788,1
1.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.79,5.0,1.7250091494414068,1.0,9.0,4.24,4.0,1.928625406758907,0.0,9.0,494.34,492.0,92.60050177668008,280.0,724.0,80.96,77.0,31.249701412714945,31.0,196.0,6.779513892520474,6.324358974358974,2.260728078929861,3.1377551020408165,14.193548387096774,3.612573257743911,2.1687816146425645,5.563633621614777,0.6787846160206619,50.61906931894159,33.06513908771484,24.487800326444066,33.826785006046435,4.220289474948493,189.657818875798,7.113795196506491,7.380690591060854,2.427012086656372,2.370893371757925,12.18234398782344,1
50.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.79,5.0,1.7250091494414068,1.0,9.0,4.24,4.0,1.928625406758907,0.0,9.0,494.34,492.0,92.60050177668008,280.0,724.0,12.93,13.0,3.1534973370125834,7.0,21.0,41.04711913215783,38.53409090909091,14.668466082919357,16.166666666666668,87.71428571428571,49.62751258710199,43.81503922198148,28.421805159575815,6.085707989484646,171.296534494459,194.3394406985732,173.81653281629764,113.79505020556985,14.503307726526915,729.2125506065456,2.51905515436188,2.152159281167096,1.312193514014861,0.6859405940594059,7.40690737833595,0
30.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.79,5.0,1.7250091494414068,1.0,9.0,4.24,4.0,1.928625406758907,0.0,9.0,494.34,492.0,92.60050177668008,280.0,724.0,14.48,14.0,3.906689419728963,8.0,28.0,36.6264274064973,34.17857142857143,12.704505223188319,16.166666666666668,79.88888888888889,41.45489410667261,38.92593379999755,24.87790829407,6.085707989484646,168.40895401409247,174.5814655357763,159.62134948225398,105.47622871433676,14.503307726526915,729.2125506065456,2.6269597975114984,2.0875175765095118,1.6784938195419734,0.6302670623145401,8.260596546310833,0
20.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.79,5.0,1.7250091494414068,1.0,9.0,4.24,4.0,1.928625406758907,0.0,9.0,494.34,492.0,92.60050177668008,280.0,724.0,15.7,14.5,4.922633769875962,9.0,36.0,33.985740496051136,32.400000000000006,11.467592202025934,16.166666666666668,79.88888888888889,37.714381007241066,31.98594974920764,23.993021018613447,6.085707989484646,167.69382821633167,164.25241453347746,146.15850755890227,103.4527613469031,14.503307726526915,729.2125506065456,2.8040342617118323,2.5910332893520645,1.4837236019301012,0.6490196078431372,8.529528158295282,0
15.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.79,5.0,1.7250091494414068,1.0,9.0,4.24,4.0,1.928625406758907,0.0,9.0,494.34,492.0,92.60050177668008,280.0,724.0,17.26,16.0,6.09788835780407,9.0,45.0,31.224559107667194,29.5625,10.655981530462565,13.666666666666666,71.9,32.97089589326859,29.476371487841377,20.337121498378075,6.085707989484646,104.36517830373893,145.4159434378707,136.2808239869675,85.31407566418751,14.503307726526915,539.1096773608566,3.418275779473332,3.020989576018601,1.773949459217198,0.7061855670103093,10.183252032520326,0
10.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.79,5.0,1.7250091494414068,1.0,9.0,4.24,4.0,1.928625406758907,0.0,9.0,494.34,492.0,92.60050177668008,280.0,724.0,20.09,19.0,7.582668968566984,10.0,54.0,26.920225424366684,25.55654761904762,8.774637985822293,11.38888888888889,55.3,26.98031055201999,24.22310542679914,16.915113773325707,4.970675568712476,104.36517830373893,127.72855020717378,124.03766769964179,76.43652649281556,12.931846006928058,539.1096773608566,3.6381272729038328,3.4156465001631204,1.7144060190575092,1.0931271477663231,10.705691056910569,0
9.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.79,5.0,1.7250091494414068,1.0,9.0,4.24,4.0,1.928625406758907,0.0,9.0,494.34,492.0,92.60050177668008,280.0,724.0,21.24,20.0,8.142816131133905,10.0,58.0,25.532011273912005,23.917366946778714,8.461882081926696,10.60344827586207,55.3,25.37878794592526,23.171673936964112,16.353796697098538,4.328072859813719,99.43438188819437,123.70047355076709,119.9158253588122,75.30838481991854,12.931846006928058,539.1096773608566,3.776827703890332,3.635824229018205,1.8731413330698174,0.7667655786350148,9.513500784929358,0
8.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.79,5.0,1.7250091494414068,1.0,9.0,4.24,4.0,1.928625406758907,0.0,9.0,494.34,492.0,92.60050177668008,280.0,724.0,22.37,21.0,8.564260952152594,10.0,58.0,24.247402628142385,22.78735632183908,7.986294312911079,10.60344827586207,50.27272727272727,24.006300422011737,21.28422339879409,16.197620436777665,4.328072859813719,99.43438188819437,120.9566726957678,117.37743054172785,76.35225141667105,12.931846006928058,539.1096773608566,4.046121130941655,3.728539387166359,1.9016434980731505,0.970919881305638,9.677708006279435,0
7.5,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.79,5.0,1.7250091494414068,1.0,9.0,4.24,4.0,1.928625406758907,0.0,9.0,494.34,492.0,92.60050177668008,280.0,724.0,23.1,22.0,8.849470679827766,11.0,59.0,23.486754769012666,21.902380952380952,7.658200261972487,10.423728813559322,46.083333333333336,22.47077007129143,19.548902972481393,14.588740734051207,4.295947521847419,99.43438188819437,113.5240670419934,112.344097679771,62.24921301658883,12.931846006928058,310.0386724424174,4.344660314116749,4.128491332016678,1.8641504315993345,1.135623869801085,9.716169544740973,0
7.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.79,5.0,1.7250091494414068,1.0,9.0,4.24,4.0,1.928625406758907,0.0,9.0,494.34,492.0,92.60050177668008,280.0,724.0,24.01,23.0,9.03136509922811,12.0,60.0,22.56774899720353,21.27153110047847,7.305572337720183,10.25,42.84615384615385,21.344609492968512,18.19817971609357,14.162942720482253,4.169468908238015,99.43438188819437,109.67907354357162,109.94887678852078,59.05975508316624,12.931846006928058,310.0386724424174,4.13204212554399,3.9005359120100387,1.8361121966744924,1.1210772833723652,10.47479674796748,0
