trajectory,strategy,n_stops,n_stop_points,avg_sed_m,max_sed_m,p95_sed_m,latency_us_per_stop,latency_us_per_point,latency_p25_us_per_point,latency_p75_us_per_point
10752853,centroid,1,50,2.6677065867316543,13.29094479413961,7.352958625732774,6.7,0.134,0.132,0.134
10752853,medoid,1,50,2.6658325433008083,12.990187610337715,7.32482135087154,700.2,14.004000000000001,11.937999999999999,17.54
10752853,snap_to_nearest,1,50,2.666057937079168,13.328562110378556,7.358924374824325,16.3,0.326,0.324,0.33799999999999997
10752853,first_point,1,50,10.85080027289057,24.128573331702167,14.883118024067073,2.0,0.04,0.04,0.042
10752864,centroid,1,45,2.7112194989866074,12.988490645365003,8.587156830993514,6.499999999999999,0.14444444444444443,0.13555555555555554,0.14666666666666667
10752864,medoid,1,45,2.6010599007808994,13.289574083598632,8.720553956981488,469.2,10.426666666666666,10.28888888888889,10.46888888888889
10752864,snap_to_nearest,1,45,2.6485399943264296,13.007255331897126,8.889830159108522,14.9,0.33111111111111113,0.3288888888888889,0.33111111111111113
10752864,first_point,1,45,13.038666251405466,25.312525109504417,18.11753990741816,2.0,0.044444444444444446,0.044444444444444446,0.044444444444444446
10752951,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
10752951,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
10752951,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
10752951,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
10892045,centroid,1,41,4.548223406609166,10.694101443501706,8.364065746097616,5.9,0.14390243902439026,0.13902439024390245,0.14634146341463414
10892045,medoid,1,41,3.98848230697492,13.418703863184387,10.433585405350161,411.2,10.029268292682927,9.951219512195122,10.06829268292683
10892045,snap_to_nearest,1,41,4.744169198450602,9.963590172777616,8.189374885515146,14.2,0.3463414634146341,0.34146341463414637,0.3487804878048781
10892045,first_point,1,41,10.694385063421409,19.057508458804378,17.008934954296063,2.0,0.04878048780487805,0.046341463414634146,0.04878048780487805
10934834,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
10934834,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
10934834,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
10934834,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
10934933,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
10934933,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
10934933,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
10934933,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
10935081,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
10935081,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
10935081,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
10935081,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
10935136,centroid,1,47,2.6798874028360107,9.169031082741856,8.640674415848853,6.4,0.13617021276595745,0.13617021276595745,0.13829787234042554
10935136,medoid,1,47,2.129688402125389,10.615845229685375,9.718877211360509,581.0,12.361702127659575,12.168085106382978,12.438297872340426
10935136,snap_to_nearest,1,47,2.767740822669325,9.272796298172544,8.35010375230256,29.0,0.6170212765957447,0.6148936170212765,0.623404255319149
10935136,first_point,1,47,9.323212178762285,11.25973768670115,11.167883022057723,3.7,0.07872340425531915,0.0702127659574468,0.08085106382978723
10935148,centroid,3,171,8.011776103913586,24.085750670805826,22.207227066817985,6.833333333333333,0.11988304093567251,0.11988304093567251,0.12339181286549708
10935148,medoid,3,171,7.9572899335704115,24.42243472612524,22.053461436897837,1174.9666666666667,20.613450292397662,19.880701754385964,20.7140350877193
10935148,snap_to_nearest,3,171,8.003788690069122,24.42243472612524,22.053461436897837,43.766666666666666,0.7678362573099415,0.6807017543859649,0.8444444444444444
10935148,first_point,3,171,18.561738332352185,47.88418416437422,42.58381825457495,1.9666666666666668,0.03450292397660819,0.03391812865497076,0.03508771929824561
10935358,centroid,3,130,1.8126979858956744,13.91612199980474,6.846716461702341,6.033333333333334,0.13923076923076924,0.13923076923076924,0.13999999999999999
10935358,medoid,3,130,1.797367795995095,13.983580776280094,6.6189705891491535,517.0,11.930769230769231,11.866153846153846,12.365384615384615
10935358,snap_to_nearest,3,130,1.8321203845854683,13.983580776280094,6.9701765264922,19.866666666666667,0.4584615384615385,0.4584615384615385,0.46846153846153843
10935358,first_point,3,130,11.18985474354978,22.687148709586126,16.56186539502197,2.3666666666666667,0.054615384615384614,0.05307692307692308,0.055384615384615386
10935638,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
10935638,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
10935638,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
10935638,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
10935844,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
10935844,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
10935844,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
10935844,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
10969051,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
10969051,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
10969051,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
10969051,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
11058912,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
11058912,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
11058912,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
11058912,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
11071635,centroid,1,46,1.8869497453580166,11.66762289986138,8.62968997421149,7.9,0.17173913043478262,0.16956521739130434,0.1782608695652174
11071635,medoid,1,46,1.8837731606487753,11.74918298129043,8.710581610157597,601.4,13.07391304347826,11.77608695652174,14.51304347826087
11071635,snap_to_nearest,1,46,1.8862295783873138,11.647558130035842,8.61371956736494,19.7,0.42826086956521736,0.41956521739130437,0.43260869565217386
11071635,first_point,1,46,10.987982515093973,22.628746055992323,17.095761539559053,2.0,0.043478260869565216,0.041304347826086954,0.04565217391304348
11071677,centroid,1,53,3.576042300586096,13.062212082718341,7.706901346426332,6.8,0.12830188679245283,0.12452830188679245,0.16037735849056603
11071677,medoid,1,53,3.533202550343961,12.19726063318249,7.881498999416737,717.4,13.535849056603773,13.445283018867926,13.78679245283019
11071677,snap_to_nearest,1,53,3.5647438595528698,12.952710383455601,7.731546160262984,18.4,0.3471698113207547,0.3415094339622642,0.3490566037735849
11071677,first_point,1,53,9.673287028916517,22.71914049139273,15.600254934523115,2.1,0.03962264150943397,0.03773584905660377,0.045283018867924525
11071727,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
11071727,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
11071727,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
11071727,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
11071733,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
11071733,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
11071733,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
11071733,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
11071965,centroid,2,87,1.642156629636819,12.84672396620861,6.413368127586583,6.1,0.14022988505747125,0.13908045977011493,0.1413793103448276
11071965,medoid,2,87,1.6375252088860837,12.88259506192166,6.255516766014539,709.3999999999999,16.308045977011492,14.144827586206896,17.67816091954023
11071965,snap_to_nearest,2,87,1.6427797493516045,12.88259506192166,6.415224823973279,15.150000000000002,0.34827586206896555,0.3471264367816092,0.34942528735632183
11071965,first_point,2,87,8.81904113051136,22.624468968684177,11.7051220659486,2.45,0.056321839080459776,0.054022988505747126,0.05862068965517241
11092058,centroid,1,47,1.4147245848934682,13.082695640397825,3.788448250179551,5.999999999999999,0.1276595744680851,0.12553191489361704,0.13191489361702127
11092058,medoid,1,47,1.3416070774402684,13.204095456477676,3.9147138465342604,562.6,11.970212765957447,11.951063829787236,11.97659574468085
11092058,snap_to_nearest,1,47,1.3772786248795004,13.129146710919427,3.8215253162251526,16.1,0.34255319148936175,0.3382978723404255,0.3446808510638298
11092058,first_point,1,47,13.098266323715608,16.17916940895408,16.107089265853745,2.8,0.05957446808510638,0.055319148936170216,0.06382978723404255
11092072,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
11092072,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
11092072,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
11092072,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
4300268,centroid,4,530,3.0992943378849636,16.95653859245049,7.669993121826717,10.4,0.07849056603773585,0.07754716981132076,0.07981132075471697
4300268,medoid,4,530,3.0424250802209247,16.82376428271059,7.876705521353761,10397.2,78.46943396226416,77.18735849056604,78.99037735849056
4300268,snap_to_nearest,4,530,3.0850165135035836,16.911695533891578,7.689963666971467,36.625,0.27641509433962264,0.2750943396226415,0.2766037735849057
4300268,first_point,4,530,14.927307798610991,33.019753429571885,19.973777155737572,1.725,0.013018867924528303,0.012830188679245283,0.013207547169811321
4303167,centroid,2,92,2.0333459967936314,12.209947442028517,7.265512533942596,5.45,0.11847826086956523,0.11739130434782609,0.12065217391304348
4303167,medoid,2,92,1.9065513766903261,13.839817203973086,7.504814816589986,511.3,11.115217391304348,11.076086956521738,11.52282608695652
4303167,snap_to_nearest,2,92,2.0891305599436336,12.350514169257623,7.4105657311355735,15.350000000000001,0.33369565217391306,0.33260869565217394,0.3347826086956522
4303167,first_point,2,92,11.388425221806276,22.893156064959104,14.40363139586055,1.9,0.041304347826086954,0.04021739130434783,0.041304347826086954
4303201,centroid,0,0,nan,nan,nan,nan,nan,nan,nan
4303201,medoid,0,0,nan,nan,nan,nan,nan,nan,nan
4303201,snap_to_nearest,0,0,nan,nan,nan,nan,nan,nan,nan
4303201,first_point,0,0,nan,nan,nan,nan,nan,nan,nan
4326816,centroid,4,160,1.5774430695696762,14.015256974344458,8.14916953296659,5.65,0.14125000000000001,0.14125000000000001,0.14375
4326816,medoid,4,160,1.522771780877,13.586300077006564,8.6982734810482,487.575,12.189375,11.45625,12.755625
4326816,snap_to_nearest,4,160,1.5668988334692528,13.99900259327552,8.25265472421557,13.625,0.340625,0.334375,0.343125
4326816,first_point,4,160,9.218007270017182,26.243282768903047,13.955916421506927,1.725,0.043125000000000004,0.042499999999999996,0.04375
4453473,centroid,2,98,2.0859019734047637,14.613613150084372,6.264548150122373,5.45,0.11122448979591837,0.11122448979591837,0.11326530612244898
4453473,medoid,2,98,2.081832696447435,14.217006938117152,6.243680782511456,609.85,12.44591836734694,12.191836734693878,13.721428571428572
4453473,snap_to_nearest,2,98,2.1312933055123024,14.217006938117152,6.892252732107892,15.949999999999998,0.3255102040816326,0.32448979591836735,0.3285714285714286
4453473,first_point,2,98,9.730186528423147,24.56679901324315,13.012242187619178,1.75,0.03571428571428571,0.03571428571428571,0.03775510204081633
4636267,centroid,3,150,1.8207239972054818,15.12881918095727,9.154446876490606,6.166666666666667,0.12333333333333334,0.12133333333333333,0.12333333333333334
4636267,medoid,3,150,1.792332165847085,15.289176384179989,9.227041610062118,630.6,12.612,12.562666666666667,13.22
4636267,snap_to_nearest,3,150,1.8119653826701756,15.119678100390525,9.170736331203873,16.666666666666664,0.3333333333333333,0.32066666666666666,0.438
4636267,first_point,3,150,13.116522921512107,28.59179266443853,18.314597446076274,3.966666666666667,0.07933333333333334,0.05866666666666667,0.08266666666666667
