strategy,capacity,dp_epsilon_m,n_trajectories,n_points_mean,n_points_median,n_points_std,n_points_min,n_points_max,n_moves_mean,n_moves_median,n_moves_std,n_moves_min,n_moves_max,n_stops_mean,n_stops_median,n_stops_std,n_stops_min,n_stops_max,n_move_points_mean,n_move_points_median,n_move_points_std,n_move_points_min,n_move_points_max,n_move_keypoints_mean,n_move_keypoints_median,n_move_keypoints_std,n_move_keypoints_min,n_move_keypoints_max,move_cr_mean,move_cr_median,move_cr_std,move_cr_min,move_cr_max,move_mean_sed_m_mean,move_mean_sed_m_median,move_mean_sed_m_std,move_mean_sed_m_min,move_mean_sed_m_max,move_max_sed_m_mean,move_max_sed_m_median,move_max_sed_m_std,move_max_sed_m_min,move_max_sed_m_max,move_latency_us_per_point_mean,move_latency_us_per_point_median,move_latency_us_per_point_std,move_latency_us_per_point_min,move_latency_us_per_point_max,eviction_hit_rate_mean,eviction_hit_rate_median,eviction_hit_rate_std,eviction_hit_rate_min,eviction_hit_rate_max,passes_sed_budget
squish_dp,200,7.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,23.84,22.0,9.259142356164375,5.0,58.0,17.965573407418876,16.80857142857143,5.648152162788167,8.2,43.90909090909091,20.013438519250563,14.865835819244737,21.476491972478446,1.601387917917358,185.58022607406878,102.78792345452511,85.6533576488358,80.72780994149319,5.120775187735044,667.5061640130456,6.482875338575903,4.28758423233889,4.678385150063209,0.6085106382978723,19.574232081911262,0.14466666666666667,0.0,0.1987740202116743,0.0,1.0,1
pure_dp,0,7.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,23.93,22.0,9.504124569805672,5.0,61.0,17.93416313922586,16.727826086956522,5.658537587585006,8.2,43.90909090909091,19.92903698664766,14.865835819244737,21.499074799124706,1.601387917917358,185.58022607406878,101.89513728850577,85.6533576488358,80.17082924475923,5.120775187735044,667.5061640130456,4.296857068171958,4.239621015980716,1.7451957980898025,0.6808510638297872,9.824729520865533,nan,nan,nan,nan,nan,1
squish_dp,500,7.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,23.93,22.0,9.504124569805672,5.0,61.0,17.93416313922586,16.727826086956522,5.658537587585006,8.2,43.90909090909091,19.92903698664766,14.865835819244737,21.499074799124706,1.601387917917358,185.58022607406878,101.89513728850577,85.6533576488358,80.17082924475923,5.120775187735044,667.5061640130456,4.375164604673827,3.975466490436946,2.8143392090951376,1.0223404255319148,17.223029366306026,0.025,0.0,0.13055824196677338,0.0,1.0,1
squish_dp,1000,7.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,23.93,22.0,9.504124569805672,5.0,61.0,17.93416313922586,16.727826086956522,5.658537587585006,8.2,43.90909090909091,19.92903698664766,14.865835819244737,21.499074799124706,1.601387917917358,185.58022607406878,101.89513728850577,85.6533576488358,80.17082924475923,5.120775187735044,667.5061640130456,3.763838811978772,3.5157831364159238,1.6009372767660215,1.054255319148936,8.219629057187017,0.0,0.0,0.0,0.0,0.0,1
squish_dp,2000,7.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,23.93,22.0,9.504124569805672,5.0,61.0,17.93416313922586,16.727826086956522,5.658537587585006,8.2,43.90909090909091,19.92903698664766,14.865835819244737,21.499074799124706,1.601387917917358,185.58022607406878,101.89513728850577,85.6533576488358,80.17082924475923,5.120775187735044,667.5061640130456,3.947460270752637,3.6655809523809526,1.7692761434721858,0.6336842105263158,10.385625965996908,0.0,0.0,0.0,0.0,0.0,1
squish_dp,4000,7.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,23.93,22.0,9.504124569805672,5.0,61.0,17.93416313922586,16.727826086956522,5.658537587585006,8.2,43.90909090909091,19.92903698664766,14.865835819244737,21.499074799124706,1.601387917917358,185.58022607406878,101.89513728850577,85.6533576488358,80.17082924475923,5.120775187735044,667.5061640130456,3.6070199373714935,3.6303317913034614,1.6473161910612835,0.6873684210526315,9.412210200927356,0.0,0.0,0.0,0.0,0.0,1
squish_dp,50,6.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,24.9,23.0,8.42135333062281,5.0,49.0,16.960450301161114,16.0952023988006,4.926338075974625,8.2,34.5,19.251537156806368,14.655166525160848,22.26384891592335,1.601387917917358,198.9793761446705,101.32216773709145,85.06916912393466,84.3930925577935,5.120775187735044,699.7585076619133,11.737034770114155,12.39089760348584,3.8167364983481495,1.8852631578947368,18.265144596651446,0.5509404761904761,0.5,0.26651385664781213,0.0,1.0,1
squish_dp,100,6.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,25.75,24.0,10.380026468894455,5.0,65.0,16.69186989812767,15.726293103448276,5.020509609634108,8.2,34.5,18.404468668979124,13.749531697373197,20.762165471666922,1.601387917917358,184.98833168899725,97.0630997378625,79.63546174746648,81.13559802199934,5.120775187735044,677.0890243114089,9.209210133057724,9.790982694591872,4.512690238415183,0.6578034682080924,18.886206896551723,0.3416547619047619,0.30952380952380953,0.26277107014336654,0.0,1.0,1
squish_dp,200,6.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,25.65,24.0,10.118864271320875,5.0,60.0,16.72336218580669,15.726293103448276,5.044549698705798,8.2,34.5,18.66669962180624,13.686257664363811,21.432342016422734,1.601387917917358,187.52755761628126,96.80628361116501,78.48273799042668,81.19816200728063,5.120775187735044,683.94726550881,6.841584867087183,4.768601998616569,4.919078962141406,0.6659574468085107,21.120556414219475,0.14466666666666667,0.0,0.1987740202116743,0.0,1.0,1
pure_dp,0,6.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,25.71,24.0,10.291013045125805,5.0,64.0,16.707559221509705,15.595833333333333,5.053489467041106,8.2,34.5,18.73828036075866,13.569475950249068,21.434265518516657,1.601387917917358,187.52755761628126,97.89996454103807,79.46386655872853,81.73172944942758,5.120775187735044,683.94726550881,4.149510067441604,3.997462233252371,1.7022497078240386,1.0925531914893618,9.014833333333332,nan,nan,nan,nan,nan,1
squish_dp,500,6.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,25.71,24.0,10.291013045125805,5.0,64.0,16.707559221509705,15.595833333333333,5.053489467041106,8.2,34.5,18.73828036075866,13.569475950249068,21.434265518516657,1.601387917917358,187.52755761628126,97.89996454103807,79.46386655872853,81.73172944942758,5.120775187735044,683.94726550881,4.156924073779794,3.4750512451676707,2.822321798337917,0.6808510638297872,18.442658423493043,0.025,0.0,0.13055824196677338,0.0,1.0,1
squish_dp,1000,6.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,25.71,24.0,10.291013045125805,5.0,64.0,16.707559221509705,15.595833333333333,5.053489467041106,8.2,34.5,18.73828036075866,13.569475950249068,21.434265518516657,1.601387917917358,187.52755761628126,97.89996454103807,79.46386655872853,81.73172944942758,5.120775187735044,683.94726550881,3.778445537987627,3.6036052133697707,1.535157858706785,0.676595744680851,9.496290571870171,0.0,0.0,0.0,0.0,0.0,1
squish_dp,2000,6.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,25.71,24.0,10.291013045125805,5.0,64.0,16.707559221509705,15.595833333333333,5.053489467041106,8.2,34.5,18.73828036075866,13.569475950249068,21.434265518516657,1.601387917917358,187.52755761628126,97.89996454103807,79.46386655872853,81.73172944942758,5.120775187735044,683.94726550881,4.326823027443586,4.085976429199649,1.767312336459075,1.1393617021276594,9.432601880877742,0.0,0.0,0.0,0.0,0.0,1
squish_dp,4000,6.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,25.71,24.0,10.291013045125805,5.0,64.0,16.707559221509705,15.595833333333333,5.053489467041106,8.2,34.5,18.73828036075866,13.569475950249068,21.434265518516657,1.601387917917358,187.52755761628126,97.89996454103807,79.46386655872853,81.73172944942758,5.120775187735044,683.94726550881,4.088407689828241,3.7792226244893006,1.8848905444723718,1.0329787234042553,9.832766615146832,0.0,0.0,0.0,0.0,0.0,1
squish_dp,50,5.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,27.19,25.0,9.360021367496978,5.0,52.0,15.606366224655975,14.600909090909092,4.665939510671405,8.2,34.5,17.055854343946073,12.391560942484041,21.877469911787838,1.601387917917358,198.9793761446705,90.32762149526323,72.83582881563004,81.64046883681918,5.120775187735044,699.7585076619133,11.409846414107635,12.0635700431557,3.341358095725199,1.170731707317073,16.74054487179487,0.5509404761904761,0.5,0.26651385664781213,0.0,1.0,1
pure_dp,0,5.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,28.3,26.0,11.779540558000374,5.0,74.0,15.27079743886088,14.491538461538461,4.640191211418336,8.2,32.76923076923077,16.74273312692964,11.042980982986569,21.473886860869094,1.601387917917358,187.39373664096064,87.62085850111772,71.09101537107256,80.40923133110388,5.120775187735044,683.94726550881,4.636383183539386,4.582999542334096,1.8666032145576623,0.6340425531914894,9.30126582278481,nan,nan,nan,nan,nan,1
squish_dp,200,5.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,28.26,26.0,11.686666839530501,5.0,74.0,15.275810390557838,14.491538461538461,4.624155762757874,8.2,32.76923076923077,16.813273560365314,11.36050585218112,21.458024339975186,1.601387917917358,187.39373664096064,88.54751206360336,71.09101537107256,80.5982768986854,5.120775187735044,683.94726550881,7.408241239145502,5.131681846893658,4.961150246269018,1.0170212765957447,20.469795221843004,0.14466666666666667,0.0,0.1987740202116743,0.0,1.0,1
squish_dp,500,5.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,28.3,26.0,11.779540558000374,5.0,74.0,15.27079743886088,14.491538461538461,4.640191211418336,8.2,32.76923076923077,16.74265877749888,11.042980982986569,21.473933767737133,1.601387917917358,187.39373664096064,87.62085850111772,71.09101537107256,80.40923133110388,5.120775187735044,683.94726550881,4.794957485089497,4.510628564133118,2.646424363992544,1.2902439024390244,18.41993817619784,0.025,0.0,0.13055824196677338,0.0,1.0,1
squish_dp,1000,5.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,28.3,26.0,11.779540558000374,5.0,74.0,15.27079743886088,14.491538461538461,4.640191211418336,8.2,32.76923076923077,16.74273312692964,11.042980982986569,21.473886860869094,1.601387917917358,187.39373664096064,87.62085850111772,71.09101537107256,80.40923133110388,5.120775187735044,683.94726550881,4.2758408134994506,4.101318681318681,1.794788198421192,1.0319148936170213,9.644049459041732,0.0,0.0,0.0,0.0,0.0,1
squish_dp,2000,5.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,28.3,26.0,11.779540558000374,5.0,74.0,15.27079743886088,14.491538461538461,4.640191211418336,8.2,32.76923076923077,16.74273312692964,11.042980982986569,21.473886860869094,1.601387917917358,187.39373664096064,87.62085850111772,71.09101537107256,80.40923133110388,5.120775187735044,683.94726550881,4.390746512417658,4.343960791777693,1.7895506442246183,1.1414893617021276,9.42194744976816,0.0,0.0,0.0,0.0,0.0,1
squish_dp,4000,5.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,28.3,26.0,11.779540558000374,5.0,74.0,15.27079743886088,14.491538461538461,4.640191211418336,8.2,32.76923076923077,16.74273312692964,11.042980982986569,21.473886860869094,1.601387917917358,187.39373664096064,87.62085850111772,71.09101537107256,80.40923133110388,5.120775187735044,683.94726550881,4.162628381619544,3.994010231977354,1.7564937296110208,1.1595744680851063,9.690726429675424,0.0,0.0,0.0,0.0,0.0,1
squish_dp,100,5.0,100,729.34,678.0,144.64091517767145,641.0,1527.0,4.86,5.0,1.5892314386698263,1.0,8.0,4.23,4.5,1.6382732964738802,0.0,7.0,406.54,405.5,117.12657575236607,41.0,657.0,28.25,26.0,11.697686035531069,5.0,70.0,15.301870924124504,14.357371794871796,4.70756572819417,8.2,34.5,16.317620908442724,12.087717545309694,20.650148835690143,1.601387917917358,184.98833168899725,87.66381244973971,71.6191658987957,78.3667413198813,5.120775187735044,677.0890243114089,9.182323903068811,8.835091145833333,4.478191361207859,0.6414893617021277,19.294435857805254,0.3416547619047619,0.30952380952380953,0.26277107014336654,0.0,1.0,1
