trajectory,strategy,capacity,dp_epsilon_m,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_mean_sed_m,move_max_sed_m,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point,eviction_hit_rate
4216956,pure_dp,0,5.0,910,6,5,363,28,12.964285714285714,5.906833985916898,31.948915045689862,4.3856749311294765,3.793939393939394,4.658953168044078,nan
4272243,pure_dp,0,5.0,646,2,1,600,61,9.836065573770492,9.538186672777474,72.90613009941525,8.768166666666666,8.100333333333333,9.379833333333332,nan
4344977,pure_dp,0,5.0,1187,5,5,384,27,14.222222222222221,9.496158826969202,55.56167453453289,5.201302083333333,4.176302083333334,5.481770833333333,nan
4350946,pure_dp,0,5.0,690,5,5,394,32,12.3125,4.701083664080349,21.940360413739374,6.4687817258883245,6.433756345177665,6.638071065989848,nan
4351935,pure_dp,0,5.0,775,6,5,369,34,10.852941176470589,8.188672376753942,37.15506564267522,5.092953929539295,4.995392953929539,5.1514905149051495,nan
4352377,pure_dp,0,5.0,716,5,4,428,26,16.46153846153846,12.830253724396169,71.32102500666555,6.592757009345794,5.802803738317757,6.914719626168225,nan
4358853,pure_dp,0,5.0,666,4,3,528,36,14.666666666666666,9.916934789939676,60.55074588775185,8.060795454545456,7.734659090909091,8.133522727272727,nan
4359232,pure_dp,0,5.0,681,3,2,590,44,13.409090909090908,9.810448068846155,61.09841147457225,8.107796610169492,6.718135593220339,8.34728813559322,nan
4370045,pure_dp,0,5.0,720,4,3,467,31,15.064516129032258,29.460956145782106,182.50508759165277,6.136830835117773,5.637473233404711,6.25289079229122,nan
4389353,pure_dp,0,5.0,650,5,4,462,41,11.268292682926829,19.325027672636196,110.44889352066262,6.317532467532467,5.326406926406927,6.613852813852814,nan
4389414,pure_dp,0,5.0,645,5,5,422,25,16.88,18.49311904842504,109.85397455854302,5.710189573459715,5.581279620853081,5.820142180094787,nan
4392729,pure_dp,0,5.0,652,4,3,478,23,20.782608695652176,15.002761551570538,92.38722002706179,5.396443514644352,5.261297071129707,5.422594142259414,nan
4393045,pure_dp,0,5.0,936,4,3,438,21,20.857142857142858,32.70671362480896,205.32157264618328,4.4,4.312100456621005,4.848858447488585,nan
4440451,pure_dp,0,5.0,657,3,2,546,52,10.5,11.035991792620132,58.55180924691721,8.048717948717949,6.667582417582418,8.423809523809522,nan
4443744,pure_dp,0,5.0,710,7,6,399,34,11.735294117647058,12.676639211161532,76.8871923132683,3.8814536340852133,3.207518796992481,4.617293233082707,nan
4448887,pure_dp,0,5.0,666,6,6,333,20,16.65,15.280397558329398,78.21846548891662,2.8606606606606606,2.838138138138138,2.9342342342342342,nan
4469551,pure_dp,0,5.0,670,4,3,512,33,15.515151515151516,26.169177752518053,151.48645719978686,5.115625,4.60078125,5.3919921875,nan
4472905,pure_dp,0,5.0,816,4,3,463,23,20.130434782608695,17.28141558293337,90.7273941506572,4.7460043196544275,4.460259179265659,5.095896328293737,nan
4473229,pure_dp,0,5.0,673,4,4,446,19,23.473684210526315,23.837129410332413,126.7825436904558,3.7926008968609866,3.4789237668161435,3.988116591928251,nan
4481970,pure_dp,0,5.0,642,3,2,494,25,19.76,9.513688595388235,37.45333060869008,5.217004048582996,5.203036437246964,5.5601214574898785,nan
4482888,pure_dp,0,5.0,647,1,0,647,74,8.743243243243244,3.33405601241251,26.221209420892897,9.040185471406492,8.648840803709428,9.366460587326122,nan
4487550,pure_dp,0,5.0,653,4,3,480,22,21.818181818181817,19.844848673883373,90.75959473360109,4.086250000000001,4.0772916666666665,4.100416666666667,nan
4487946,pure_dp,0,5.0,710,2,1,227,24,9.458333333333334,8.827217655481174,45.65933703738371,6.030396475770925,6.021145374449339,6.044052863436123,nan
4504164,pure_dp,0,5.0,649,5,5,364,25,14.56,12.460946624276687,54.75934856095841,6.006043956043955,5.9510989010989,6.0151098901098905,nan
4527487,pure_dp,0,5.0,671,4,5,134,9,14.88888888888889,2.9674031082483023,9.106401375380884,1.4425373134328359,1.4425373134328359,1.4522388059701492,nan
4544584,pure_dp,0,5.0,672,4,3,540,41,13.170731707317072,8.17970279820149,65.59453037251734,4.855555555555555,4.3875925925925925,5.0562962962962965,nan
4547202,pure_dp,0,5.0,696,5,4,436,29,15.03448275862069,7.278209970818716,36.86725871030577,4.10894495412844,4.088073394495413,4.189220183486238,nan
4559519,pure_dp,0,5.0,991,6,5,358,26,13.76923076923077,16.18798414312905,126.98572197517917,3.727653631284916,3.695251396648045,3.7385474860335197,nan
4575701,pure_dp,0,5.0,700,2,1,657,55,11.945454545454545,5.30560811389885,34.223846658097905,8.490715372907154,8.393607305936074,8.773059360730594,nan
4579744,pure_dp,0,5.0,678,6,5,377,21,17.952380952380953,15.41373223923028,69.23672845741466,2.7183023872679044,2.718037135278515,2.8106100795755964,nan
4605892,pure_dp,0,5.0,678,2,3,41,5,8.2,1.601387917917358,5.120775187735044,2.1439024390243904,2.1390243902439026,2.1463414634146343,nan
4668185,pure_dp,0,5.0,641,7,6,372,28,13.285714285714286,9.63414704348551,49.19842286653605,2.3061827956989247,2.2903225806451615,2.313978494623656,nan
4705097,pure_dp,0,5.0,659,4,4,451,28,16.107142857142858,18.101444458285403,80.1807226255203,5.455210643015522,5.290465631929046,5.455432372505544,nan
4724133,pure_dp,0,5.0,650,4,4,454,38,11.947368421052632,10.40172019753276,80.05429424794696,7.258149779735683,7.19625550660793,7.278854625550661,nan
4749525,pure_dp,0,5.0,805,3,2,526,30,17.533333333333335,22.59929480983595,142.51740041681583,6.376045627376426,6.317300380228137,6.437072243346008,nan
4754626,pure_dp,0,5.0,1144,5,4,433,24,18.041666666666668,24.121664939219283,135.41394900589432,5.417551963048499,5.3646651270207855,5.421247113163973,nan
4754956,pure_dp,0,5.0,647,5,4,419,33,12.696969696969697,21.228717301749956,127.1356431272355,5.09546539379475,5.078520286396182,5.098090692124105,nan
4775763,pure_dp,0,5.0,718,6,5,449,42,10.69047619047619,7.810779092675609,46.82566036709352,5.830066815144765,4.615367483296215,5.836971046770602,nan
4785421,pure_dp,0,5.0,773,4,4,460,22,20.90909090909091,19.538001368661984,102.55504390253294,5.119782608695652,4.610652173913044,5.194347826086957,nan
4789937,pure_dp,0,5.0,678,4,4,524,32,16.375,11.148722158940737,85.22038218986637,5.681870229007634,5.644847328244275,5.7356870229007635,nan
4792515,pure_dp,0,5.0,705,7,6,236,25,9.44,2.8232868630653,10.644847775516576,4.022881355932204,3.2690677966101696,4.215677966101695,nan
4811115,pure_dp,0,5.0,643,4,3,483,15,32.2,187.39373664096064,683.94726550881,3.7492753623188406,3.6805383022774327,3.8559006211180127,nan
4824328,pure_dp,0,5.0,688,4,3,355,24,14.791666666666666,9.670130723895998,61.66935873828307,5.21943661971831,5.142816901408451,5.28225352112676,nan
4861227,pure_dp,0,5.0,710,7,6,240,18,13.333333333333334,20.635521993842083,88.38121098251374,2.0675,2.0216666666666665,2.1383333333333336,nan
4861687,pure_dp,0,5.0,746,8,7,302,25,12.08,9.102259420562229,62.14174722862771,1.6947019867549669,1.4218543046357615,2.365894039735099,nan
4862222,pure_dp,0,5.0,670,4,3,486,54,9.0,5.6093651046676545,28.659237918312545,7.790534979423868,7.597530864197531,7.938683127572016,nan
4862380,pure_dp,0,5.0,660,3,2,522,27,19.333333333333332,21.905333268387015,125.7009661278912,5.2890804597701155,5.005938697318007,5.5247126436781615,nan
4865550,pure_dp,0,5.0,642,5,5,382,30,12.733333333333333,13.320754808763077,98.64338456538475,5.227225130890052,5.050785340314136,5.288743455497382,nan
4865558,pure_dp,0,5.0,649,5,4,503,40,12.575,23.13155759181764,171.91247616025066,6.028429423459245,5.915109343936382,6.0884691848906565,nan
4912927,pure_dp,0,5.0,674,2,1,638,63,10.126984126984127,9.636469033366392,119.3391286800846,7.490438871473354,7.057836990595611,8.41128526645768,nan
4915833,pure_dp,0,5.0,675,4,3,479,30,15.966666666666667,30.160319802895792,143.54369808044004,5.279331941544886,4.66910229645094,5.424008350730689,nan
4940890,pure_dp,0,5.0,683,3,2,530,42,12.619047619047619,6.603378991192529,47.317837549382254,7.3522641509433955,7.003584905660378,7.461320754716981,nan
5244934,pure_dp,0,5.0,656,6,6,274,17,16.11764705882353,7.97540050508011,39.67207285000543,3.4777372262773723,3.431386861313869,3.504014598540146,nan
5351422,pure_dp,0,5.0,654,4,3,487,21,23.19047619047619,24.24106724812288,146.88782663614558,3.6794661190965092,3.5022587268993837,4.693018480492813,nan
5477477,pure_dp,0,5.0,678,2,2,586,45,13.022222222222222,5.493050671340083,28.349045484651366,5.393344709897611,4.860409556313993,5.800170648464164,nan
5499001,pure_dp,0,5.0,670,2,1,632,61,10.360655737704919,19.750056107544356,190.3610628590151,9.30126582278481,8.49746835443038,9.635126582278481,nan
5503058,pure_dp,0,5.0,916,6,5,414,26,15.923076923076923,22.103304958144573,131.55791049727102,4.453381642512078,3.7942028985507243,4.693478260869565,nan
5503168,pure_dp,0,5.0,695,6,5,336,26,12.923076923076923,4.072020431270422,12.192889865179977,4.266666666666667,3.6482142857142854,4.489583333333333,nan
5503359,pure_dp,0,5.0,716,6,6,319,24,13.291666666666666,5.662645099701468,25.824672605612466,3.81128526645768,3.1322884012539185,4.013793103448276,nan
5540718,pure_dp,0,5.0,663,6,6,333,14,23.785714285714285,31.714344926329176,101.28465739621406,2.45975975975976,2.4186186186186185,2.490990990990991,nan
5540722,pure_dp,0,5.0,691,5,5,426,13,32.76923076923077,97.124249801422,282.18890604514826,1.9051643192488263,1.7934272300469483,2.277230046948357,nan
5540733,pure_dp,0,5.0,641,4,3,490,29,16.896551724137932,26.125247687729306,125.50117595099593,5.687551020408163,5.224285714285714,5.953877551020408,nan
5540847,pure_dp,0,5.0,869,6,6,375,26,14.423076923076923,14.18630379401514,71.61565884600321,4.6168,4.374666666666666,4.748,nan
5547018,pure_dp,0,5.0,649,6,5,388,24,16.166666666666668,13.127001129125683,69.10580849271571,2.884020618556701,2.8489690721649485,2.9943298969072165,nan
5565253,pure_dp,0,5.0,670,4,5,385,18,21.38888888888889,14.636406150531283,48.20894704255659,3.787012987012987,3.3394805194805195,4.136363636363637,nan
5615881,pure_dp,0,5.0,1051,6,6,357,28,12.75,8.240917263198543,36.765572582210815,4.933053221288515,4.777310924369748,5.082352941176471,nan
5615968,pure_dp,0,5.0,642,6,5,378,20,18.9,12.800585580393694,73.56904228851245,3.2060846560846565,3.192063492063492,3.241005291005291,nan
