trajectory,gamma_mps,k,n_points,n_moves,n_stops,n_move_points,n_move_keypoints,move_cr,move_retention_ratio,e_match_rate,v_match_rate,move_latency_us_per_point,move_latency_p25_us_per_point,move_latency_p75_us_per_point
10752853,2.0,2,615,2,1,565,132,12.696629213483146,0.2336283185840708,0.0,0.034782608695652174,3.247079646017699,nan,nan
10752864,2.0,2,232,2,1,187,55,10.788461538461538,0.29411764705882354,0.08695652173913043,1.0,6.749197860962567,nan,nan
10752951,2.0,2,610,1,0,610,145,15.91304347826087,0.23770491803278687,0.0,0.9090909090909091,5.205081967213115,nan,nan
10892045,2.0,2,323,2,1,282,68,14.842105263157896,0.24113475177304963,0.015151515151515152,1.0,4.398581560283688,nan,nan
10934834,2.0,2,242,1,0,242,37,24.2,0.15289256198347106,0.0,1.0,3.4888429752066115,nan,nan
10934933,2.0,2,423,1,0,423,81,21.879310344827587,0.19148936170212766,0.0,1.0,3.7650118203309693,nan,nan
10935081,2.0,2,278,1,0,278,58,19.623529411764707,0.20863309352517986,0.0,1.0,4.738129496402878,nan,nan
10935136,2.0,2,308,1,1,261,53,22.695652173913043,0.20306513409961685,0.16129032258064516,1.0,4.543295019157088,nan,nan
10935148,2.0,2,237,2,3,66,13,12.375,0.19696969696969696,0.08333333333333333,1.0,5.331818181818181,nan,nan
10935358,2.0,2,636,4,3,506,137,14.457142857142857,0.2707509881422925,0.08256880733944955,1.0,6.539723320158102,nan,nan
10935638,2.0,2,228,1,0,228,61,14.869565217391305,0.2675438596491228,0.0,1.0,5.332017543859649,nan,nan
10935844,2.0,2,607,1,0,607,141,18.581632653061224,0.23228995057660626,0.0,0.6111111111111112,3.8008237232289948,nan,nan
10969051,2.0,2,601,1,0,601,99,26.711111111111112,0.16472545757071547,0.0,0.8888888888888888,3.6307820299500833,nan,nan
11058912,2.0,2,601,1,0,601,228,11.1640866873065,0.3793677204658902,0.30357142857142855,1.0,5.041930116472545,nan,nan
11071635,2.0,2,423,2,1,377,84,18.540983606557376,0.22281167108753316,0.04225352112676056,1.0,14.178779840848806,nan,nan
11071677,2.0,2,459,2,1,406,93,18.73846153846154,0.229064039408867,0.011111111111111112,1.0,11.690394088669951,nan,nan
11071727,2.0,2,411,1,0,411,124,14.172413793103448,0.30170316301703165,0.11702127659574468,1.0,12.276642335766423,nan,nan
11071733,2.0,2,257,1,0,257,62,17.325842696629213,0.24124513618677043,0.0,1.0,5.061089494163424,nan,nan
11071965,2.0,2,535,3,2,448,93,19.2,0.20758928571428573,0.02247191011235955,1.0,8.150669642857142,nan,nan
11092058,2.0,2,446,1,1,399,82,22.58490566037736,0.20551378446115287,0.028985507246376812,1.0,6.476441102756892,nan,nan
11092072,2.0,2,247,1,0,247,55,19.246753246753247,0.22267206477732793,0.0,1.0,8.334412955465586,nan,nan
4300268,2.0,2,961,5,4,431,77,19.740458015267176,0.17865429234338748,0.013157894736842105,0.9,7.6496519721577725,nan,nan
4303167,2.0,2,610,3,2,518,134,15.938461538461539,0.25868725868725867,0.0,1.0,10.884169884169884,nan,nan
4303201,2.0,2,600,1,0,600,116,22.085889570552148,0.19333333333333333,0.008771929824561403,1.0,10.459833333333332,nan,nan
4326816,2.0,2,606,4,4,446,85,20.74418604651163,0.1905829596412556,0.02631578947368421,1.0,6.673766816143497,nan,nan
4453473,2.0,2,610,3,2,512,129,14.76923076923077,0.251953125,0.08163265306122448,0.95,10.7111328125,nan,nan
4636267,2.0,2,624,4,3,474,114,15.712707182320441,0.24050632911392406,0.018018018018018018,1.0,9.53396624472574,nan,nan
4652239,2.0,2,601,4,4,432,144,13.157360406091371,0.3333333333333333,0.11,0.9375,11.92523148148148,nan,nan
4660369,2.0,2,640,3,2,523,110,19.134146341463413,0.21032504780114722,0.0898876404494382,1.0,7.361185468451243,nan,nan
4748312,2.0,2,624,5,4,435,72,20.88,0.16551724137931034,0.04918032786885246,0.9090909090909091,16.566206896551723,nan,nan
4748313,2.0,2,770,3,2,465,133,14.607329842931938,0.2860215053763441,0.015503875968992248,1.0,7.3509677419354835,nan,nan
4779685,2.0,2,669,5,4,405,73,18.692307692307693,0.18024691358024691,0.0625,0.9090909090909091,10.428395061728395,nan,nan
4792372,2.0,2,609,3,3,455,93,19.640287769784173,0.2043956043956044,0.022727272727272728,1.0,7.158021978021978,nan,nan
4793806,2.0,2,609,4,3,441,127,14.94915254237288,0.28798185941043086,0.125,0.9333333333333333,7.005442176870749,nan,nan
4798549,2.0,2,661,5,4,447,74,19.720588235294116,0.16554809843400448,0.08064516129032258,0.7857142857142857,7.595973154362416,nan,nan
4944723,2.0,2,650,5,5,292,57,16.846153846153847,0.1952054794520548,0.0,1.0,10.251712328767123,nan,nan
4981908,2.0,2,251,1,0,251,48,22.47761194029851,0.19123505976095617,0.05555555555555555,0.8333333333333334,5.618326693227091,nan,nan
5084249,2.0,2,600,1,0,600,146,14.634146341463415,0.24333333333333335,0.0,0.22807017543859648,4.742,nan,nan
5133027,2.0,2,628,4,4,395,81,18.372093023255815,0.20506329113924052,0.0125,1.0,7.32987341772152,nan,nan
5285957,2.0,2,387,1,0,387,53,29.025,0.13695090439276486,0.0,1.0,5.903100775193798,nan,nan
5286334,2.0,2,342,1,0,342,78,18.825688073394495,0.22807017543859648,0.06153846153846154,0.875,7.271929824561403,nan,nan
5395622,2.0,2,231,2,1,198,47,16.273972602739725,0.23737373737373738,0.0,1.0,7.863636363636363,nan,nan
5538668,2.0,2,617,1,0,617,145,16.453333333333333,0.23500810372771475,0.0782608695652174,0.72,3.886061588330632,nan,nan
5670672,2.0,2,264,3,2,145,19,20.232558139534884,0.1310344827586207,0.05555555555555555,0.75,7.836551724137931,nan,nan
5729758,2.0,2,253,1,0,253,52,20.24,0.20553359683794467,0.0,1.0,6.498418972332016,nan,nan
5763820,2.0,2,989,4,5,347,82,18.263157894736842,0.23631123919308358,0.07407407407407407,1.0,13.005187319884726,nan,nan
5917923,2.0,2,272,1,0,272,70,16.15841584158416,0.25735294117647056,0.0,1.0,7.704044117647059,nan,nan
5936666,2.0,2,602,1,0,602,146,17.282296650717704,0.2425249169435216,0.0,1.0,6.06328903654485,nan,nan
6014730,2.0,2,219,1,0,219,57,15.642857142857142,0.2602739726027397,0.0,1.0,6.023287671232876,nan,nan
6051512,2.0,2,601,2,1,568,98,22.42105263157895,0.17253521126760563,0.0,1.0,4.9864436619718315,nan,nan
6053686,2.0,2,602,1,0,602,144,18.242424242424242,0.23920265780730898,0.014492753623188406,1.0,5.891196013289036,nan,nan
6171971,2.0,2,372,1,0,372,58,25.363636363636363,0.15591397849462366,0.0,1.0,4.844892473118279,nan,nan
6172561,2.0,2,239,1,0,239,51,20.782608695652176,0.21338912133891214,0.0,1.0,6.735146443514645,nan,nan
6357847,2.0,2,716,7,6,358,99,12.488372093023257,0.276536312849162,0.0,1.0,13.811173184357541,nan,nan
6358495,2.0,2,308,1,0,308,45,27.176470588235293,0.1461038961038961,0.08333333333333333,1.0,5.550324675324675,nan,nan
6422329,2.0,2,269,1,0,269,23,44.833333333333336,0.08550185873605948,0.0,0.6666666666666666,6.8405204460966536,nan,nan
6547817,2.0,2,320,1,1,288,62,24.338028169014084,0.2152777777777778,0.022222222222222223,1.0,7.109027777777778,nan,nan
6547822,2.0,2,341,4,3,218,34,20.123076923076923,0.1559633027522936,0.17391304347826086,1.0,17.286238532110094,nan,nan
6756778,2.0,2,498,1,1,457,66,30.466666666666665,0.14442013129102846,0.0,0.8333333333333334,5.919037199124727,nan,nan
6896919,2.0,2,619,2,1,564,90,28.436974789915965,0.1595744680851064,0.13333333333333333,1.0,5.9315602836879435,nan,nan
6920600,2.0,2,225,1,0,225,52,18.0,0.2311111111111111,0.02040816326530612,1.0,6.2506666666666675,nan,nan
6922501,2.0,2,273,1,1,239,48,22.06153846153846,0.200836820083682,0.023255813953488372,1.0,5.617154811715481,nan,nan
6922622,2.0,2,453,1,0,453,79,24.70909090909091,0.17439293598233996,0.0,1.0,5.81766004415011,nan,nan
6941418,2.0,2,282,2,1,251,39,24.29032258064516,0.1553784860557769,0.027777777777777776,0.8,8.774103585657372,nan,nan
6984632,2.0,2,617,2,1,578,197,12.610909090909091,0.3408304498269896,0.041666666666666664,0.7916666666666666,6.518512110726643,nan,nan
7555066,2.0,2,339,1,0,339,79,20.138613861386137,0.23303834808259588,0.09615384615384616,1.0,7.389380530973451,nan,nan
7557391,2.0,2,302,1,0,302,80,16.934579439252335,0.26490066225165565,0.0,1.0,15.7476821192053,nan,nan
7563440,2.0,2,591,1,0,591,145,18.091836734693878,0.24534686971235195,0.0,1.0,8.34399323181049,nan,nan
7564587,2.0,2,242,2,1,197,56,14.414634146341463,0.28426395939086296,0.0,1.0,11.071065989847716,nan,nan
7583768,2.0,2,236,2,2,164,67,9.84,0.40853658536585363,0.10909090909090909,0.8571428571428571,11.146341463414634,nan,nan
7598344,2.0,2,219,1,0,219,51,18.507042253521128,0.2328767123287671,0.0,0.8,10.44337899543379,nan,nan
7613495,2.0,2,612,1,0,612,144,18.927835051546392,0.23529411764705882,0.007142857142857143,1.0,7.690359477124183,nan,nan
7613518,2.0,2,285,2,2,214,56,17.833333333333332,0.2616822429906542,0.28,1.0,8.335514018691589,nan,nan
7613731,2.0,2,271,1,1,233,39,31.066666666666666,0.16738197424892703,0.3125,1.0,9.288412017167381,nan,nan
7691124,2.0,2,255,3,2,178,50,13.518987341772151,0.2808988764044944,0.0,1.0,11.279213483146068,nan,nan
7691163,2.0,2,301,2,1,267,66,16.6875,0.24719101123595505,0.0,1.0,8.008239700374531,nan,nan
7691232,2.0,2,601,1,0,601,125,18.683937823834196,0.2079866888519135,0.08,0.9411764705882353,7.330615640599001,nan,nan
7691423,2.0,2,303,2,1,260,81,15.757575757575758,0.31153846153846154,1.0,1.0,12.911538461538461,nan,nan
7691435,2.0,2,343,1,0,343,107,15.709923664122137,0.3119533527696793,0.1076923076923077,1.0,16.42594752186589,nan,nan
7691520,2.0,2,608,2,1,552,100,23.0,0.18115942028985507,0.010526315789473684,1.0,8.269021739130435,nan,nan
7691542,2.0,2,368,2,1,306,70,21.857142857142858,0.22875816993464052,0.13157894736842105,1.0,12.117647058823529,nan,nan
7691885,2.0,2,251,2,1,208,60,14.344827586206897,0.28846153846153844,0.0,1.0,9.036057692307692,nan,nan
7691909,2.0,2,624,2,1,586,136,18.03076923076923,0.23208191126279865,0.0,1.0,11.676791808873721,nan,nan
7795968,2.0,2,252,1,1,195,31,25.434782608695652,0.15897435897435896,0.0,1.0,15.794358974358975,nan,nan
7797310,2.0,2,601,1,0,601,104,23.415584415584416,0.17304492512479203,0.0,0.5555555555555556,7.73261231281198,nan,nan
7799046,2.0,2,454,1,0,454,98,21.967741935483872,0.21585903083700442,0.13636363636363635,1.0,15.683259911894273,nan,nan
7799135,2.0,2,329,1,0,329,86,16.871794871794872,0.2613981762917933,0.0,1.0,11.191185410334347,nan,nan
7799180,2.0,2,645,4,3,515,111,21.914893617021278,0.21553398058252426,0.28888888888888886,1.0,9.602524271844661,nan,nan
7799209,2.0,2,525,1,0,525,135,17.696629213483146,0.2571428571428571,0.0,1.0,12.612,nan,nan
7799211,2.0,2,232,3,2,155,44,12.077922077922079,0.2838709677419355,0.0,1.0,15.579354838709678,nan,nan
7799420,2.0,2,317,1,1,286,72,21.72151898734177,0.2517482517482518,0.06976744186046512,1.0,13.946153846153846,nan,nan
7799507,2.0,2,310,3,2,196,66,10.990654205607477,0.336734693877551,0.0,0.7777777777777778,7.0158163265306115,nan,nan
7852277,2.0,2,247,1,1,202,37,23.307692307692307,0.18316831683168316,0.0,1.0,7.442079207920792,nan,nan
7852403,2.0,2,290,1,0,290,62,20.714285714285715,0.21379310344827587,0.0,1.0,8.403448275862068,nan,nan
7852411,2.0,2,607,3,2,521,126,17.081967213114755,0.2418426103646833,0.016666666666666666,0.9230769230769231,11.177159309021114,nan,nan
7852420,2.0,2,606,2,1,562,129,19.6046511627907,0.22953736654804271,0.0,1.0,7.088790035587189,nan,nan
7852422,2.0,2,216,1,0,216,43,20.903225806451612,0.19907407407407407,0.0,1.0,11.497685185185185,nan,nan
7852445,2.0,2,307,1,0,307,56,24.236842105263158,0.18241042345276873,0.02,1.0,9.197394136807818,nan,nan
7852451,2.0,2,314,2,1,261,49,21.45205479452055,0.18773946360153257,0.22580645161290322,1.0,9.765900383141762,nan,nan
8354596,2.0,2,385,1,0,385,94,17.5,0.24415584415584415,0.08,1.0,6.92025974025974,nan,nan
10752853,2.0,3,615,2,1,565,132,12.74436090225564,0.2336283185840708,0.0,0.02564102564102564,3.7366371681415926,nan,nan
10752864,2.0,3,232,2,1,187,55,11.56701030927835,0.29411764705882354,0.019230769230769232,0.7272727272727273,4.233689839572193,nan,nan
10752951,2.0,3,610,1,0,610,145,16.266666666666666,0.23770491803278687,0.0,0.4838709677419355,3.486229508196721,nan,nan
10892045,2.0,3,323,2,1,282,68,14.71304347826087,0.24113475177304963,0.015151515151515152,0.8333333333333334,4.6109929078014185,nan,nan
10934834,2.0,3,242,1,0,242,37,24.2,0.15289256198347106,0.0,1.0,3.4809917355371898,nan,nan
10934933,2.0,3,423,1,0,423,81,21.879310344827587,0.19148936170212766,0.0,1.0,3.681323877068558,nan,nan
10935081,2.0,3,278,1,0,278,58,19.623529411764707,0.20863309352517986,0.0,1.0,4.003597122302159,nan,nan
10935136,2.0,3,308,1,1,261,53,23.029411764705884,0.20306513409961685,0.12121212121212122,1.0,4.154789272030651,nan,nan
