gamma_mps,k,n_trajectories,n_points_mean,n_points_median,n_points_std,n_points_min,n_points_max,n_moves_mean,n_moves_median,n_moves_std,n_moves_min,n_moves_max,n_stops_mean,n_stops_median,n_stops_std,n_stops_min,n_stops_max,n_move_points_mean,n_move_points_median,n_move_points_std,n_move_points_min,n_move_points_max,n_move_keypoints_mean,n_move_keypoints_median,n_move_keypoints_std,n_move_keypoints_min,n_move_keypoints_max,move_cr_mean,move_cr_median,move_cr_std,move_cr_min,move_cr_max,move_retention_ratio_mean,move_retention_ratio_median,move_retention_ratio_std,move_retention_ratio_min,move_retention_ratio_max,e_match_rate_mean,e_match_rate_median,e_match_rate_std,e_match_rate_min,e_match_rate_max,v_match_rate_mean,v_match_rate_median,v_match_rate_std,v_match_rate_min,v_match_rate_max,move_latency_us_per_point_mean,move_latency_us_per_point_median,move_latency_us_per_point_std,move_latency_us_per_point_min,move_latency_us_per_point_max,passes_retention_floor
5.0,5,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,42.54,37.0,21.250511580294777,3.0,107.0,34.310604039083536,33.2432259441007,13.637383505604442,13.213483146067416,115.28571428571429,0.11298091110767437,0.11118976339625163,0.03751363021149505,0.026022304832713755,0.2653061224489796,0.009646401153606887,0.0,0.022757007550372,0.0,0.1111111111111111,0.5783852099334778,0.5454545454545454,0.30485951582343707,0.0,1.0,5.260574375741426,4.59242732529839,2.3995605025746087,2.9475206611570246,17.672659176029963,1
5.0,3,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,42.54,37.0,21.250511580294777,3.0,107.0,34.73380947004635,33.08034398034398,13.873186544109776,13.363636363636363,115.28571428571429,0.11298091110767437,0.11118976339625163,0.03751363021149505,0.026022304832713755,0.2653061224489796,0.023518561137400022,0.0,0.05032290121305885,0.0,0.3181818181818182,0.8226008757124474,0.8944444444444444,0.22716210623439256,0.0,1.0,5.812235992589228,5.3865201712869055,2.37602455646242,3.0260330578512393,14.119101123595504,1
5.0,4,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,42.54,37.0,21.250511580294777,3.0,107.0,34.405863297496715,32.54805194805195,13.890226904488774,13.363636363636363,115.28571428571429,0.11298091110767437,0.11118976339625163,0.03751363021149505,0.026022304832713755,0.2653061224489796,0.012857082245959568,0.0,0.02640936608043955,0.0,0.1111111111111111,0.6831789825538069,0.6833333333333333,0.29523599793590544,0.0,1.0,4.990961477398269,4.604777365124363,1.6826017203837682,2.963197026022305,13.544897959183674,1
5.0,6,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,42.54,37.0,21.250511580294777,3.0,107.0,34.13949782521746,32.38392857142857,13.668213287751424,13.213483146067416,115.28571428571429,0.11298091110767437,0.11118976339625163,0.03751363021149505,0.026022304832713755,0.2653061224489796,0.0053862990459991825,0.0,0.01492677467882165,0.0,0.07692307692307693,0.44211102799828267,0.3888888888888889,0.2868995300721487,0.0,1.0,5.108716782757268,4.7651141548189235,1.9156401936657115,2.9911877394636015,13.964367816091954,1
5.0,2,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,42.54,37.0,21.250511580294777,3.0,107.0,34.28577495253072,32.27218710493047,13.937407177406769,13.213483146067416,115.28571428571429,0.11298091110767437,0.11118976339625163,0.03751363021149505,0.026022304832713755,0.2653061224489796,0.03768942541656967,0.0,0.07234787387629404,0.0,0.47368421052631576,0.9255852346283853,1.0,0.1464723013340344,0.0410958904109589,1.0,5.511983429261984,5.0347038140150575,2.026857141854167,2.9677685950413224,15.725714285714284,1
5.0,7,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,42.54,37.0,21.250511580294777,3.0,107.0,33.12273660393707,32.24548192771084,13.31790007654189,10.594594594594595,115.28571428571429,0.11298091110767437,0.11118976339625163,0.03751363021149505,0.026022304832713755,0.2653061224489796,0.002230127967580195,0.0,0.008682492675447137,0.0,0.06666666666666667,0.2690960191132988,0.2,0.2434063143203552,0.0,1.0,4.938823886738976,4.7296766572376026,1.531844863464021,2.9698884758364312,10.603076923076923,1
5.0,8,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,42.54,37.0,21.250511580294777,3.0,107.0,32.282260722343054,30.804846938775512,12.425659422948883,12.64516129032258,89.66666666666667,0.11298091110767437,0.11118976339625163,0.03751363021149505,0.026022304832713755,0.2653061224489796,0.002230127967580195,0.0,0.008682492675447137,0.0,0.06666666666666667,0.18258503190585118,0.13333333333333333,0.19750386217352667,0.0,1.0,5.248654856012107,4.801317418213969,1.8764193012442805,2.890909090909091,11.233673469387757,1
4.0,4,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,49.59,47.0,23.265744099100903,6.0,114.0,29.982132555920234,29.623524783634934,11.54556815484523,12.923076923076923,115.28571428571429,0.13207527276976866,0.12800702565698785,0.037661248976821715,0.026022304832713755,0.2755102040816326,0.014289438180262294,0.0,0.02595483410162325,0.0,0.11764705882352941,0.7319622621987587,0.75,0.27119531009048603,0.0375,1.0,5.44938616480747,5.013738291669251,2.0781827160164124,3.2075539568345324,17.631122448979593,1
4.0,5,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,49.59,47.0,23.265744099100903,6.0,114.0,30.202044511327394,29.45754245754246,11.929443191119471,12.51063829787234,115.28571428571429,0.13207527276976866,0.12800702565698785,0.037661248976821715,0.026022304832713755,0.2755102040816326,0.012110076801087109,0.0,0.029396041572074264,0.0,0.16,0.6287215868328465,0.6428571428571429,0.31214582200959873,0.0,1.0,5.4340388116451805,4.817327010888654,2.1488256554733858,2.9379999999999997,15.92704081632653,1
4.0,3,100,443.41,399.0,181.22055845869366,216.0,989.0,1.97,1.0,1.3062012158016145,1.0,7.0,1.17,1.0,1.4217289232878156,0.0,6.0,376.67,365.0,146.60618966634678,66.0,617.0,49.59,47.0,23.265744099100903,6.0,114.0,30.081826279671425,29.29942378208486,11.806847448100974,12.782608695652174,115.28571428571429,0.13207527276976866,0.12800702565698785,0.037661248976821715,0.026022304832713755,0.2755102040816326,0.02885717207110632,0.0,0.05070315738429553,0.0,0.25,0.8461769651561851,1.0,0.20774775984480834,0.0375,1.0,5.727591855111492,5.150508797691733,2.047641170901205,3.0870491803278686,13.237258687258686,1
