time,latitude,longitude,osm_way_id,matched_latitude,matched_longitude,matched_distance,matched_type
2023-10-14 20:12:50,37.78752641265102,-122.40363029630198,255330068,37.787541,-122.403421,18.340076,True
2023-10-14 20:12:51,37.787529447139455,-122.40363470584244,255330068,37.787544,-122.403421,18.693982,False
2023-10-14 20:12:52,37.78754191515929,-122.40364268791868,255330068,37.787557,-122.403423,19.265959,False
2023-10-14 20:12:53,37.78756744481878,-122.40365424601568,255330068,37.787583,-122.403426,20.020597,False
2023-10-14 20:12:54,37.787604899621655,-122.40366700895798,255330068,37.787621,-122.40343,20.762715,False
2023-10-14 20:12:55,37.787649677085376,-122.4036768692474,88597544,37.787676,-122.403436,21.247356,True
2023-10-14 20:12:56,37.78770532718288,-122.4036843437764,88597544,37.787736,-122.403445,21.147379,False
2023-10-14 20:12:57,37.7877502554925,-122.40369043628364,88597544,37.78778,-122.403454,20.865642,True
2023-10-14 20:12:58,37.787804147256026,-122.40369491142285,88597544,37.787837,-122.403466,20.263186,False
2023-10-14 20:12:59,37.7878686373772,-122.4036998207875,417396858,37.787901,-122.403481,19.389903,True
2023-10-14 20:13:00,37.7879250070104,-122.40369972467067,417396858,37.787955,-122.403494,18.226584,False
2023-10-14 20:13:01,37.78800131580602,-122.4037029923266,417166168,37.788033,-122.403511,17.138018,True
2023-10-14 20:13:02,37.78806250611165,-122.40370311120688,417166168,37.788085,-122.403521,16.068925,False
2023-10-14 20:13:03,37.78812701703944,-122.40370462090824,417166168,37.788148,-122.403534,15.0827,True
2023-10-14 20:13:04,37.788193813299216,-122.40370534977995,417166168,37.788213,-122.403547,13.989536,False
2023-10-14 20:13:05,37.78825441653543,-122.40370426075232,417166168,37.788272,-122.403559,12.846671,True
2023-10-14 20:13:06,37.78831871665123,-122.40370465558291,417166168,37.788335,-122.403571,11.767883,False
2023-10-14 20:13:07,37.78836974552584,-122.40370125316176,417166168,37.788384,-122.403581,10.591078,True
2023-10-14 20:13:08,37.788426009687285,-122.40369715869691,770023605,37.788439,-122.403591,9.334723,False
2023-10-14 20:13:09,37.7884940942193,-122.40369212065114,770023605,37.788505,-122.403604,7.724657,True
2023-10-14 20:13:10,37.78856661344256,-122.4036934133224,770023605,37.788575,-122.403618,6.58443,False
2023-10-14 20:13:11,37.788654070929454,-122.4036979112414,770023605,37.788661,-122.403636,5.462985,True
2023-10-14 20:13:12,37.78872344396376,-122.40369865874648,770023605,37.788729,-122.403649,4.330019,False
2023-10-14 20:13:13,37.78880399695943,-122.40369637330538,770023605,37.788807,-122.403665,2.742308,True
2023-10-14 20:13:14,37.78886347473064,-122.40368594751916,770023605,37.788864,-122.403676,0.815821,False
2023-10-14 20:13:15,37.78893061423979,-122.40368300672492,224316520,37.788929,-122.403689,0.596908,True
2023-10-14 20:13:16,37.78897792757983,-122.40367653247064,224316520,37.788975,-122.403698,1.972371,False
2023-10-14 20:13:17,37.78903128176129,-122.40367401435978,224316520,37.789026,-122.403709,3.115372,True
2023-10-14 20:13:18,37.78907483485301,-122.40367224872774,224316520,37.789069,-122.403717,4.023452,False
2023-10-14 20:13:19,37.78910799742348,-122.40367179326768,224316520,37.789101,-122.403724,4.638178,False
2023-10-14 20:13:20,37.78912399087619,-122.40366745155828,224316520,37.789116,-122.403727,5.290358,True
2023-10-14 20:13:21,37.789133797812426,-122.40366450462332,224316520,37.789125,-122.403729,5.71483,False
2023-10-14 20:13:22,37.78913951781957,-122.40366287287291,224316520,37.789131,-122.40373,5.954892,False
2023-10-14 20:13:23,37.78914334095302,-122.40366078708983,224316520,37.789134,-122.40373,6.201223,False
2023-10-14 20:13:24,37.78914570414257,-122.40365929441184,224316520,37.789136,-122.403731,6.371039,False
2023-10-14 20:13:25,37.78914851909104,-122.40365851355372,224316520,37.789139,-122.403731,6.487267,False
2023-10-14 20:13:26,37.789155734759895,-122.40365798018703,224316520,37.789146,-122.403733,6.658496,False
2023-10-14 20:13:27,37.78916781657171,-122.4036579551727,224316520,37.789158,-122.403735,6.870292,False
2023-10-14 20:13:28,37.78918090716835,-122.40365805552166,224316520,37.78917,-122.403738,7.088774,False
2023-10-14 20:13:29,37.78920523775831,-122.4036591497645,224316520,37.789194,-122.403742,7.416518,False
2023-10-14 20:13:30,37.789240268483375,-122.40366245725784,224316520,37.789229,-122.403749,7.738932,True
2023-10-14 20:13:31,37.78927359615538,-122.4036654354964,224316520,37.789262,-122.403756,8.060208,False
2023-10-14 20:13:32,37.78930986837803,-122.40366818165477,224316520,37.789297,-122.403763,8.452604,False
2023-10-14 20:13:33,37.789351654579946,-122.40367203023452,224316520,37.789339,-122.403772,8.845541,True
2023-10-14 20:13:34,37.789396587369176,-122.40367774347328,224316520,37.789383,-122.40378,9.128957,False
2023-10-14 20:13:35,37.78943786628211,-122.40368290130677,224316520,37.789424,-122.403789,9.396325,False
2023-10-14 20:13:36,37.78948031926757,-122.40368911874204,406944778,37.789469,-122.403798,9.595739,True
2023-10-14 20:13:37,37.78952036106448,-122.40369560459116,406944778,37.789506,-122.403805,9.733069,False
2023-10-14 20:13:38,37.78956532138031,-122.40370274874026,406944778,37.789551,-122.403814,9.903473,False
2023-10-14 20:13:39,37.78960939149531,-122.40371020163624,406944778,37.789595,-122.403823,10.031661,True
2023-10-14 20:13:40,37.789654533316885,-122.40371960210732,406944778,37.78964,-122.403832,10.010574,False
2023-10-14 20:13:41,37.78970096368406,-122.40372924358785,406944778,37.789687,-122.403842,9.988642,True
2023-10-14 20:13:42,37.78974326691827,-122.40373911796854,406944778,37.789729,-122.40385,9.858096,False
2023-10-14 20:13:43,37.78978030715166,-122.4037500014622,406944778,37.789766,-122.403857,9.550618,False
2023-10-14 20:13:44,37.78981597950699,-122.40376967700006,406944778,37.789803,-122.403865,8.506531,True
2023-10-14 20:13:45,37.78984183639178,-122.40379391500048,254297764,37.789833,-122.403871,6.892437,False
2023-10-14 20:13:46,37.78985912857453,-122.40381970230162,254297764,37.789833,-122.403871,5.406246,False
2023-10-14 20:13:47,37.78987362269312,-122.40385630602536,254297764,37.789833,-122.403871,4.696198,False
2023-10-14 20:13:48,37.78988316948742,-122.4039029133838,254297764,37.78983,-122.403892,5.908053,True
